[00:00:14.116 --> 00:00:15.816]  There is a war.
[00:24:53.598 --> 00:25:07.867]  Here we are at this great new renaissance that's happening and humanity's found its fight again and it's because of you and the great crew here and all of us little people standing up to Hollywood and mainstream media and the globalists and they've just thrown everything they've got at us.
[00:25:07.867 --> 00:25:16.533]  Even though it's destroying the NFL and destroying the NBA and destroying Hollywood, they just can't stop because it's all about the spiritual control they want because
[00:25:17.313 --> 00:25:19.877]  They're from the chicken shit dimension, basically, is what I call it.
[00:25:19.877 --> 00:25:20.418]  That's my term.
[00:25:20.418 --> 00:25:21.259]  The chicken shit dimension.
[00:25:21.259 --> 00:25:22.241]  I invented that.
[00:25:22.241 --> 00:25:29.492]  They just have it out for green fields and happy families and flyover country and people coming together.
[00:25:29.492 --> 00:25:31.776]  That's the will of evil, is to take things over.
[00:25:32.637 --> 00:25:38.301]  and then destroy it, and they wonder why they're so desperate, why they're so unhappy, why things are so terrible.
[00:25:38.301 --> 00:25:43.264]  If they could just pull down somebody that they think is better than them, then they would be somebody.
[00:25:43.264 --> 00:25:44.665]  And they're really projecting that.
[00:25:44.665 --> 00:25:46.747]  They're trying to pull themselves down.
[00:25:46.747 --> 00:25:53.872]  Because if they weren't ugly before, they have become spiritually and physically ugly.
[00:25:53.872 --> 00:25:58.215]  Because they have gone into an economy of envy, and an economy of
[00:26:01.052 --> 00:26:08.979]  Class warfare, that even conservatives and libertarians claim we're not trying to be part of, but that permeates everything.
[00:26:08.979 --> 00:26:27.014]  And then sometimes you have to fight that culture war with its own symbols, even though you realize that you're even playing into it at a certain level, but there's an equation where it does more good than bad, because you can't even communicate to people at a zombie level unless you enter into that paradigm of the false left-right system.
[00:26:28.036 --> 00:26:30.539]  But the truth is we're all children once.
[00:26:30.539 --> 00:26:32.061]  We all have hopes and dreams.
[00:26:32.061 --> 00:26:34.243]  We all have amazing ancestors from one point or another.
[00:26:34.243 --> 00:26:34.984]  We wouldn't be here.
[00:26:34.984 --> 00:26:39.869]  And we're going through a lot right now, through this process, like we're space traveling to Mars.
[00:26:39.869 --> 00:26:45.175]  And when you get to Mars after a year of voyage, a lot of people wouldn't be able to walk or even hardly get up, like I said, getting out of the coma.
[00:26:46.036 --> 00:26:48.297]  And it's like that.
[00:26:48.297 --> 00:27:10.222]  We're in this artificial world now, going through all these changes, good and bad, and it's a great quickening and a great time of testing and a great time for us to realize that the great destiny and continuum of humanity is the great arc of history and the great arc of the future and the great arc that ties us to the past, present, and through our dreams and genetic time flow to the future.
[00:27:10.842 --> 00:27:19.348]  And so there is an eternal life guaranteed within the spectrum of life and knowledge and information we transfer forward.
[00:27:19.348 --> 00:27:33.058]  But that everything being multi-dimensional in God's master plan, there are other dimensions to that spiritually that also live on but resonate towards the energy and towards the force that it is likened to.
[00:27:33.058 --> 00:27:39.843]  So the hell is those that are evil and corrupt, vampires not having anyone spiritually to feed on together forever.
[00:27:41.658 --> 00:28:00.095]  And good is ever higher levels of joining with God as God opens up more and more of the universe to those that are able to grasp the face of God, then the mind of God, the soul of God, and the continuum of God as we join closer and greater with God.
[00:28:00.956 --> 00:28:03.277]  And these are the secrets they don't want you to know.
[00:28:03.277 --> 00:28:04.778]  And it's transcendent.
[00:28:04.778 --> 00:28:07.620]  So I love you, and I appreciate you, and I thank you.
[00:28:07.620 --> 00:28:09.440]  Celebrate your victories.
[00:28:09.440 --> 00:28:11.261]  Celebrate what you've done.
[00:28:11.261 --> 00:28:15.524]  Celebrate the commitment you've made, and where we're going together.
[00:28:15.524 --> 00:28:20.346]  Because I want to salute all of you, as I've always done, and thank you for what you've done.
[00:28:20.346 --> 00:28:25.889]  Because these globalist bullies think they can dominate and control humanity.
[00:28:25.889 --> 00:28:29.271]  But as I've said a thousand times, I don't know how all this is going to end.
[00:28:30.384 --> 00:28:33.085]  But if they want to fight, they better believe they got one.
[00:28:33.085 --> 00:28:34.946]  Because it's the fight that matters.
[00:28:34.946 --> 00:28:38.929]  It's the fight and the resistance is the destination.
[00:28:38.929 --> 00:28:41.330]  The journey is the destination.
[00:28:41.330 --> 00:28:42.951]  The journey is the destination.
[00:28:42.951 --> 00:28:44.632]  You are fulfilled.
[00:28:44.632 --> 00:28:45.892]  You are strong.
[00:28:45.892 --> 00:28:46.753]  You are beautiful.
[00:28:46.753 --> 00:28:48.093]  You are good.
[00:28:48.093 --> 00:28:49.354]  Hollywood tells you you're not.
[00:28:49.354 --> 00:28:53.676]  The whole system tells you you're crap because you don't have these markings or these systems.
[00:28:53.676 --> 00:28:54.617]  It's a load of...
[00:28:59.190 --> 00:29:00.090]  It's a no-brainer.
[00:29:00.090 --> 00:29:02.491]  A Big Berkey water filter is the one you need, period.
[00:29:02.491 --> 00:29:10.612]  You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA and other endocrine disruptors, pesticides, bacteria, viruses and much more, right?
[00:29:10.612 --> 00:29:12.553]  And does it all at only two cents per gallon.
[00:29:12.553 --> 00:29:16.253]  Get the original and most trusted name in gravity water filtration, Big Berkey.
[00:29:16.253 --> 00:29:20.974]  And now GCN listeners receive 5% off ceramic filter systems using code GCN.
[00:29:20.974 --> 00:29:25.435]  Call or click 1-877-99-BERKEY or BigBerkeyWaterFilters.com.
[00:29:25.435 --> 00:29:26.075]  That's 1-877-99-BERKEY.
[00:29:29.136 --> 00:29:31.758]  Most people think life insurance pays after you're dead.
[00:29:31.758 --> 00:29:32.778]  That's true.
[00:29:32.778 --> 00:29:37.841]  But did you know you can have tax-free access to your life insurance while you're still alive?
[00:29:37.841 --> 00:29:43.045]  You can use the life benefits of your life insurance to grow your money with certainty and guarantees.
[00:29:43.045 --> 00:29:47.227]  No stock market risk, no tax risk, and no penalties.
[00:29:47.227 --> 00:29:51.050]  Call Life Benefits if you'd like a free book about how this can be done.
[00:29:51.050 --> 00:29:51.330]  Call 702-660-7000.
[00:29:51.330 --> 00:29:51.750]  That's 702-660-7000.
[00:30:00.185 --> 00:30:03.166]  Top scientists and researchers agree.
[00:30:03.166 --> 00:30:12.291]  We are being hit by toxic weapons in the food and water supply that are making us fat, sick, and stupid.
[00:30:12.291 --> 00:30:13.671]  So what do we do about it?
[00:30:13.671 --> 00:30:17.013]  Well, for starters, don't just sit there and take it.
[00:30:17.013 --> 00:30:23.076]  Fight back with the all-new supercharged BrainForce Plus and feel the rush
[00:30:23.476 --> 00:30:24.778]  Without the crash.
[00:30:24.778 --> 00:30:31.367]  RainForce Plus is the next generation of advanced neural activation and nootropics.
[00:30:31.367 --> 00:30:38.918]  And now we've added a brand new ingredient called Black Pepper Fruit Extract that gives you an added kick.
[00:30:40.098 --> 00:30:49.502]  I want to plow into all of this, but I'm going to spend a few minutes here first just encouraging listeners to understand that
[00:31:09.251 --> 00:31:20.085]  When you buy t-shirts, or water filtration systems, or books, or videos, or other material from InfoWarsTore.com, you are funding the revolution.
[00:31:20.085 --> 00:31:22.207]  I mean, I cannot say it any clearer.
[00:31:22.207 --> 00:31:26.212]  And so it is essential that you purchase the products at InfoWarsTore.com.
[00:31:26.212 --> 00:31:27.234]  I want to thank everybody that has.
[00:31:27.654 --> 00:31:33.438]  We've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[00:31:33.438 --> 00:31:35.840]  You cannot beat that for children and adults.
[00:31:35.840 --> 00:31:41.263]  We've got the best mouthwash designed by Dr. Jones, that's my dad, with colloidal silver and iodine as well.
[00:31:41.263 --> 00:31:44.245]  Infowarslife.com or AAA253-3139.
[00:31:44.245 --> 00:31:52.951]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[00:31:52.951 --> 00:31:57.414]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[00:31:59.956 --> 00:32:01.878]  Mike in Arizona, you're on the air worldwide.
[00:32:01.878 --> 00:32:03.099]  Go ahead.
[00:32:03.099 --> 00:32:05.041]  Oh, Alex, you can rant any day of the week.
[00:32:05.041 --> 00:32:15.552]  Thank you, sir, for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[00:32:15.552 --> 00:32:18.895]  And as a longtime InfoWars listener, I want to say thanks.
[00:32:19.375 --> 00:32:19.635]  Absolutely.
[00:32:41.824 --> 00:33:02.815]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on, and if we can get our houses in order, and be good to each other and ourselves, we can take our country back.
[00:33:02.815 --> 00:33:05.516]  You're listening to The Alex Jones Show.
[00:33:11.377 --> 00:33:13.598]  Infowars.com.
[00:33:13.598 --> 00:33:16.239]  You are the resistance.
[00:33:16.239 --> 00:33:20.460]  Please raise your right hand and repeat after me.
[00:33:20.460 --> 00:33:23.141]  I, Donald John Trump, do solemnly swear.
[00:33:23.141 --> 00:33:27.342]  I, Donald John Trump, do solemnly swear.
[00:33:27.342 --> 00:33:29.343]  That I will faithfully execute.
[00:33:30.023 --> 00:33:38.449]  That I will faithfully execute the office of President of the United States and will, to the best of my ability, preserve, protect, and defend the Constitution of the United States.
[00:33:38.449 --> 00:33:39.190]  So help me God.
[00:33:59.996 --> 00:34:00.477]  Thank you.
[00:34:29.690 --> 00:34:29.971]  Yeah.
[00:35:03.959 --> 00:35:14.305]  What a great honor to be able to introduce for the first time ever anywhere, the 45th President of the United States of America, Donald J. Trump.
[00:35:40.407 --> 00:36:00.779]  Chief Justice Roberts, President Carter, President Clinton, President Bush, President Obama, fellow Americans, and people of the world, thank you.
[00:36:00.779 --> 00:36:02.580]  We, the citizens of America,
[00:36:03.445 --> 00:36:16.589]  Are now joined in a great national effort to rebuild our country and restore its promise for all of our people.
[00:36:16.589 --> 00:36:25.993]  Together, we will determine the course of America and the world for many, many years to come.
[00:36:25.993 --> 00:36:28.213]  We will face challenges.
[00:36:28.213 --> 00:36:30.494]  We will confront hardships.
[00:36:30.494 --> 00:36:32.495]  But we will get the job done.
[00:36:33.965 --> 00:36:41.330]  Every four years we gather on these steps to carry out the orderly and peaceful transfer of power.
[00:36:41.330 --> 00:36:52.739]  And we are grateful to President Obama and First Lady Michelle Obama for their gracious aid throughout this transition.
[00:36:52.739 --> 00:36:55.360]  They have been magnificent.
[00:36:55.360 --> 00:36:55.761]  Thank you.
[00:37:03.277 --> 00:37:08.481]  Today's ceremony, however, has very special meaning.
[00:37:08.481 --> 00:37:17.548]  Because today, we are not merely transferring power from one administration to another, or from one party to another.
[00:37:17.548 --> 00:37:25.334]  But we are transferring power from Washington, D.C., and giving it back to you, the people.
