[00:00:00.000 --> 00:00:02.439]  [BEEPING]
[00:22:13.015 --> 00:22:15.837]  Are you the only person in media who actually reads these reports?
[00:22:16.518 --> 00:22:20.758]   I don't think a lot of people do read them, but I do read them. I mean, I'm currently reading
[00:22:20.758 --> 00:22:25.637]   MIT reports from their top councils, Pentagon reports. They have a working group called the
[00:22:25.637 --> 00:22:29.447]  Mad Scientist Group at the Pentagon that works with MIT.
[00:22:29.447 --> 00:22:34.597]   And if you go watch their hour-long, two-hour-long, three-hour-long meetings they have on
[00:22:34.597 --> 00:22:40.356]   YouTube with all the tops, I mean, we're talking hundreds of top scientists.
[00:22:40.487 --> 00:22:54.254]  They admit that they're building a post-human world, that soon everyone's going to be mind-controlled, that they're going to put smart dust in our food, that they can electromagnetically control, and they just lay it all out right there.
[00:22:54.754 --> 00:22:58.176]  And I've learned what these people said in the 50s they would do were done by the 70s.
[00:22:58.536 --> 00:23:02.478]  What they said their plan was in the 70s for the 90s, they got done.
[00:23:03.078 --> 00:23:12.083]  And then when they had their Agenda 21 in Rio de Janeiro in 1992, the Big UN Summit, they described everything they would do up until the year 2000, and they got almost all of that done.
[00:23:12.623 --> 00:23:21.548]  Now they've got Agenda 2030, and we're going to ban your gas stoves, we're going to ban beef, we're going to ban single-family dwellings, we're going to ban private ownership of cars.
[00:23:22.188 --> 00:23:24.809]  We're going to do all this, and now you see them rolling it all out.
[00:23:24.830 --> 00:23:31.353]  So I'm not really making predictions in these high-level World Economic Forum and other large think tanks.
[00:23:31.751 --> 00:23:36.390]   groups, they're laying out the future and they're high priests of the World Economic Forum.
[00:23:36.390 --> 00:23:38.271]  It's a consortium of all these groups.
[00:23:38.271 --> 00:23:40.831]  You all know Harari. You can read his quotes.
[00:23:40.831 --> 00:23:43.951]  The future is not human. The human era is over.
[00:23:43.951 --> 00:23:46.510]  The public is useless.
[00:23:46.510 --> 00:23:52.031]   I mean, this is a very anti-human system. So that's how I'm able
[00:23:52.031 --> 00:23:56.351]  to make predictions because they've given us a roadmap.
[00:23:56.404 --> 00:23:57.644]  They tell us where they want to take us.
[00:23:58.325 --> 00:24:02.106]  And so when the public wakes up, we push back on some of it, but they always come back.
[00:24:02.506 --> 00:24:06.247]  And so I'm just following the trajectory of where they say they want to take us.
[00:24:06.327 --> 00:24:13.169]  And there were a lot of white papers, not just the PNAC document from 2000, a year before 9-11.
[00:24:14.429 --> 00:24:17.370]  Where they describe, we really need big terror attacks.
[00:24:17.751 --> 00:24:21.052]  We really need Pearl Harbor events to get Americans to give up their rights.
[00:24:21.712 --> 00:24:23.093]  I mean, take what just happened in Israel.
[00:24:23.133 --> 00:24:23.813]  Totally tragic.
[00:24:23.833 --> 00:24:27.355]  My heart goes out to all that have been killed or lost loved ones or been injured.
[00:24:28.175 --> 00:24:34.078]  But there's no way that one of the best intelligence agencies in the world didn't know that was coming.
[00:24:34.118 --> 00:24:40.301]  The massive buildup, the 5,000 missiles, the paragliding attacks, all of that.
[00:24:40.861 --> 00:24:42.942]  And so there was clearly a stand down there.
[00:24:43.795 --> 00:24:45.937]  And now the West will take more of the people's rights.
[00:24:46.097 --> 00:24:51.501]  Israel will be able to crack down and take more of their people's rights, which is a big debate over there.
[00:24:51.521 --> 00:24:55.804]  Hamas is being funded by Hezbollah, which is Iran.
[00:24:56.285 --> 00:24:59.787]  We just had Biden a month ago give $6 billion to Iran.
[00:25:01.537 --> 00:25:06.180]  And now the Mulas are bragging that they were behind the attack, Hezbollah funding Hamas.
[00:25:06.720 --> 00:25:08.561]  So really, those aren't even predictions.
[00:25:09.182 --> 00:25:22.470]  It's clear that Hezbollah and Hamas have tens of thousands of men and women as sleeper cells that are quote, other than Mexican, that the Border Patrol lists every month, tens of thousands coming across the Texas and Arizona and California sectors.
[00:25:23.131 --> 00:25:40.796]   And it's an easy equation to predict that there's a wide probability That Hezbollah and Hamas at some point are going to attack sports stadiums, they're going to attack colleges, they're going to attack synagogues, they're going to shoot up mass gatherings if they're given the order by Iran, if we go to war with Iran.
[00:25:41.236 --> 00:25:46.538]  And then when this happens, our government won't get in trouble for dissolving the border and letting these people come in.
[00:25:46.938 --> 00:25:51.739]  Just like on 9-11, our government clearly had prior knowledge, there was clearly a major stand down that went on.
[00:25:52.439 --> 00:26:02.548]  And the government got more power, more control, and now they're not pointing the Homeland Security apparatus at the Russians like they did in the Cold War, or the Islamists after 9-11.
[00:26:03.589 --> 00:26:15.479]  Now they admit that their main focus is Christian conservatives, and the bitter clingers, and the people that live in rural America, that quote, white people, I mean it says that in the report, are the main terror threat.
[00:26:15.959 --> 00:26:24.037]   And so this whole apparatus of the war on terror, It has now been turned inwardly against the people, not just here but also in Europe.
[00:26:24.794 --> 00:26:29.935]  Where if someone criticizes transgenderism in the UK, they come to their house and arrest them.
[00:26:30.735 --> 00:26:33.275]  If a journalist does that, they come to their house and arrest them.
[00:26:33.796 --> 00:26:39.597]  If somebody says, I think these surveillance cameras should start getting cut down, they come to their house and arrest them for their free speech.
[00:26:39.657 --> 00:26:49.178]  And so, this is a global movement by the megacorporations, by the Black Rocks, and the state streets and the vanguards that control 80 plus percent of world wealth to control our behavior.
[00:26:49.198 --> 00:26:51.599]  And Larry Fink of Black Rock has said that today most repeatedly.
[00:26:51.899 --> 00:27:04.244]   We're going to use our control Over all this finance and this global social credit score rolling out to control people's behavior So so that's really what this is and then they use the threat of global warming.
[00:27:04.264 --> 00:27:18.930]  They use the threat of a virus They use the threat of radical Islam to take our rights, but we really are the target Even if I by the way, none of that seems implausible at this point I mean just you're a measure of how the world has changed if you'd said this to me 15 years ago.
[00:27:18.950 --> 00:27:26.569]   I'd have been like You know someone's a crackpot and it's not me And now after COVID, nothing you said seems crazy at all.
[00:27:26.589 --> 00:27:29.972]  I mean, you may be right, you may be wrong, but it's not out of the realm of possibility, obviously.
[00:27:31.193 --> 00:27:34.095]  But even if I disagree with what you just said, I would think that's pretty interesting.
[00:27:34.115 --> 00:27:35.236]  It's an interesting perspective.
[00:27:36.136 --> 00:27:38.338]  Why do you think you've committed no crime?
[00:27:38.358 --> 00:27:39.239]  You'd be in jail if you had.
[00:27:40.199 --> 00:27:42.081]  Why do you think they hate you so much?
[00:27:44.591 --> 00:28:06.359]  Because I do read their documents and I do read their books and we were effectively getting a lot of people in the military and the intelligence agencies who were compartmentalized and who tuned into my show and saw my films and read my books and things and they clicked with it and said, wow, I see all this going on around me.
[00:28:06.399 --> 00:28:07.319]  He's not lying about it.
[00:28:07.879 --> 00:28:10.920]  And then I would give them other pieces that I discovered or my other guests discovered.
[00:28:11.161 --> 00:28:15.843]  And so it was giving them an operational awareness outside of their compartmentalization.
[00:28:16.483 --> 00:28:24.527]  And so we had massive success in the military, in the police, and in the intelligence agencies not just here but around the world.
[00:28:25.627 --> 00:28:35.162]   And so our penetration into those areas to When you got deplatformed, to this day, no one has ever been more aggressively censored, I don't think, than you.
[00:28:35.182 --> 00:28:36.823]  I've apologized to you this in person before.
[00:28:36.643 --> 00:28:41.481]   a lot of whistleblowers, was triggering a lot of people not going along with the program.
[00:28:41.481 --> 00:28:46.603]   And so really my sin was decompartmentalization of the population.
[00:28:46.603 --> 00:28:51.803]   When you got deplatformed, to this day no one has ever been more aggressively censored,
[00:28:51.803 --> 00:28:56.322]   I don't think, than you. I've apologized to you this in person before. I was in Labrador
[00:28:56.322 --> 00:28:58.322]  on a fishing trip and missed the entire thing.
[00:28:58.322 --> 00:29:08.962]  I'm in a very paradoxical conundrum.
[00:29:08.982 --> 00:29:12.885]  I am super thankful to our viewers and listeners for keeping us on air and your support.
[00:29:13.125 --> 00:29:14.106]  We've changed the world together.
[00:29:14.767 --> 00:29:18.330]  But at the same time, InfoWars is barely paying its bills.
[00:29:18.910 --> 00:29:23.494]  Plus I've got great products that will absolutely turbocharge your life.
[00:29:24.528 --> 00:29:29.454]  So I'm sitting here thinking, how do I explain to people that InfoWars isn't just some talk show?
[00:29:29.474 --> 00:29:32.136]  We're not some political movement of the thousands out there.
[00:29:32.497 --> 00:29:34.099]  We are over the target.
[00:29:34.139 --> 00:29:37.883]  We are proven to know what we're talking about.
[00:29:39.881 --> 00:29:46.023]  So I say to you, my friends, please do your Christmas shopping at InfoWarsTore.com.
[00:29:46.303 --> 00:29:53.246]  Don't do it at Walmart, or Target, or Amazon, or the establishment facilities that are literally working against you and your family.
[00:29:53.586 --> 00:29:54.706]  Go get great products.
[00:29:54.746 --> 00:29:56.247]  My book, The Great Awakening.
[00:29:57.062 --> 00:30:01.586]  Get great t-shirts, water filtration, air filtration, it's all the highest rated, lowest prices.
[00:30:02.086 --> 00:30:04.789]  Get X2, sold out for over a year, finally back in stock.
[00:30:05.049 --> 00:30:10.233]  Get Turbo Force, 10 hours, clean energy, the most powerful, healthiest, best formula out there.
[00:30:10.494 --> 00:30:16.356]   There's other brain boost formulas that work really great, but then you're and have a hangover for two days after you take it.
[00:30:16.356 --> 00:30:18.356]  Not with TurboForce.
[00:30:18.356 --> 00:30:25.356]   It's all available at mfullorestore.com with store-wide free shipping, double Patriot points,
[00:30:25.356 --> 00:30:27.356]  and up to 60% off.
[00:30:27.356 --> 00:30:30.356]  Some of these deals we're losing money on.
[00:30:30.356 --> 00:30:34.356]  So again, please do your Christmas shopping at mfullorestore.com.
[00:30:34.717 --> 00:30:39.500]  Go there, get Turbo Force, get Brain Force Plus, Brain Force Ultra 60% off.
[00:30:40.021 --> 00:30:43.963]  Get Vazo Beats, get Ultra 12, get DNA Force Plus.
[00:30:44.344 --> 00:30:52.129]  A lot of these products are about to sell out, but despite that, they're still up to 60% off with storewide free shipping at InfoWarStore.com.
[00:30:52.429 --> 00:31:01.022]   We're changing the world together, so please take a moment of reflection and realize how Great a job you've done, and then redouble your efforts, keep us on air.
[00:31:01.021 --> 00:31:16.461]  Thank you so much.
[00:31:16.458 --> 00:31:21.780]  If you can trust yourself when all men doubt you, but make allowance for their doubting too.
[00:31:22.640 --> 00:31:29.142]  If you can wait and not be tired by waiting, or being lied about, don't deal in lies.
[00:31:29.603 --> 00:31:35.405]  Or being hated, don't give way to hating, and yet don't look too good, nor talk too wise.
[00:31:37.150 --> 00:31:40.112]  If you can dream, and not make dreams your master.
[00:31:40.752 --> 00:31:43.173]  If you can think and not make thoughts your aim.
[00:31:43.933 --> 00:31:49.456]  If you can meet with triumph and disaster, and treat those two impostors just the same.
[00:31:49.476 --> 00:31:56.280]  If you can bear to hear the truth you've spoken, twisted by knaves to make a trap for fools.
[00:31:56.920 --> 00:32:02.923]  Or watch the things you gave your life to, broken, and stoop and build them up with worn out tools.
[00:32:05.040 --> 00:32:35.942]   If you can make one heap of all your winnings And risk it on one turn of pitch and toss And booze and start again at your beginnings And never breathe a word about your loss If you can force your heart and nerve and sinew To serve your turn long after they are gone And so hold on when there is nothing in you Except the will which says to them, hold on If you can talk with crowds and keep your virtue, or walk with kings, nor lose the common touch.
