[00:00:29.713 --> 00:00:31.053]  A digital frontier.
[00:29:26.174 --> 00:29:28.354]  stronghold, Austin, Texas.
[00:29:28.734 --> 00:29:31.735]  You're listening to the Alex Jones Show.
[00:29:46.278 --> 00:29:49.039]  Lighting the watchtowers, warning the people.
[00:29:51.180 --> 00:29:57.224]  Thank you so much for joining us on this live Thursday, August 1st, 2024 transmission.
[00:29:58.304 --> 00:30:04.367]  All right, we're getting incredible investigative reporter Anthony Muckraker-Rubin connected right now.
[00:30:05.128 --> 00:30:08.690]  He released a viral video yesterday in Atlanta.
[00:30:09.758 --> 00:30:21.865]  Georgia, a key battleground state, where 14% of the illegal aliens that they talked to and canvassed in a big apartment building said, oh yeah, we're voting, yeah, we got registered to vote, which the Democrats admit they do.
[00:30:22.065 --> 00:30:23.486]  They have these campaigns in the cities.
[00:30:24.507 --> 00:30:26.028]  Then they try to deny it on the national news.
[00:30:26.408 --> 00:30:31.491]  And remember, they just had Rasmussen last week did a national poll of tens of thousands and found 9%
[00:30:35.791 --> 00:30:39.212]  Of the voters that said they were going to vote were illegal aliens.
[00:30:39.853 --> 00:30:41.453]  That's more than enough to steal the election.
[00:30:44.174 --> 00:30:52.617]  So, when they get him in here, they immediately sign him up for welfare, and the Democratic Party give him a social worker, and then they make sure they're in the system to do this.
[00:30:52.957 --> 00:30:54.498]  Here's part of his viral report.
[00:30:55.520 --> 00:31:00.624]  We're from a company that is dedicated to registering Hispanic people so they can vote in upcoming elections.
[00:31:00.904 --> 00:31:01.925]  Are you already registered?
[00:31:02.205 --> 00:31:02.985]  We already voted.
[00:31:03.225 --> 00:31:04.046]  You already voted?
[00:31:04.366 --> 00:31:04.666]  Yes.
[00:31:05.087 --> 00:31:06.568]  Are you a citizen or...?
[00:31:06.588 --> 00:31:08.229]  Uh, no.
[00:31:09.030 --> 00:31:10.751]  Have you already been registered or...?
[00:31:11.151 --> 00:31:11.431]  Yeah.
[00:31:11.771 --> 00:31:12.072]  Yeah?
[00:31:12.392 --> 00:31:13.993]  Are you a citizen or...?
[00:31:15.634 --> 00:31:15.794]  No.
[00:31:16.095 --> 00:31:16.275]  No.
[00:31:16.515 --> 00:31:18.176]  Have you already been registered at work?
[00:31:18.476 --> 00:31:19.237]  Yes, we have.
[00:31:19.537 --> 00:31:20.678]  You've already been registered?
[00:31:23.287 --> 00:31:25.258]  Are you a citizen or not a citizen?
[00:31:28.348 --> 00:31:33.871]  The apartment complex Elliot Norcross, in Norcross, Georgia, is occupied primarily by non-citizens.
[00:31:34.531 --> 00:31:37.073]  We visited the complex to ask residents two questions.
[00:31:37.773 --> 00:31:38.494]  Are you a citizen?
[00:31:38.994 --> 00:31:40.094]  And are you registered to vote?
[00:31:40.955 --> 00:31:46.178]  Shockingly, 14% of respondents admitted to being non-citizens registered to vote.
[00:31:46.798 --> 00:31:47.218]  Hello.
[00:31:47.859 --> 00:31:48.979]  Hello, sorry to bother you.
[00:31:49.039 --> 00:31:55.423]  We're here with an organization dedicated to registering Hispanic people to vote in the elections.
[00:31:55.463 --> 00:31:57.704]  Have you already registered?
[00:31:58.206 --> 00:31:58.486]  Ya.
[00:31:58.826 --> 00:31:59.106]  Ya?
[00:31:59.387 --> 00:32:01.448]  Y fue en el trabajo?
[00:32:01.528 --> 00:32:03.569]  No, vino al... vino al Inatoca.
[00:32:03.849 --> 00:32:04.309]  Ah, okay.
[00:32:04.329 --> 00:32:05.029]  Muchas gracias.
[00:32:05.449 --> 00:32:08.231]  Oiga, y usted es ciudadana, o...?
[00:32:09.591 --> 00:32:09.812]  No.
[00:32:10.052 --> 00:32:10.812]  No, no.
[00:32:11.112 --> 00:32:13.053]  Ya la registraron en el trabajo, o...?
[00:32:14.274 --> 00:32:14.734]  O en Inga?
[00:32:16.803 --> 00:32:20.148]  Well, yes, they told us, but... Did you register?
[00:32:20.288 --> 00:32:21.510]  I think so.
[00:32:21.630 --> 00:32:22.011]  At work?
[00:32:22.111 --> 00:32:23.253]  Uh-huh, yes.
[00:32:23.393 --> 00:32:24.274]  Oh, okay.
[00:32:24.454 --> 00:32:32.046]  Are you a citizen or... Or are you not a citizen?
[00:32:33.095 --> 00:32:33.836]  No, it's not.
[00:32:33.876 --> 00:32:35.057]  Have you registered your work?
[00:32:35.097 --> 00:32:36.539]  Yes, we have.
[00:32:36.739 --> 00:32:38.140]  Oh, you've registered it?
[00:32:38.681 --> 00:32:39.662]  No, we haven't.
[00:32:39.742 --> 00:32:41.844]  I'm sorry, I didn't hear you very well.
[00:32:41.904 --> 00:32:43.286]  Have you registered it?
[00:32:43.306 --> 00:32:43.786]  Yes, we have.
[00:32:43.926 --> 00:32:47.570]  Are you citizens or not?
[00:32:47.670 --> 00:32:47.931]  No.
[00:32:47.951 --> 00:32:48.631]  You're not?
[00:32:48.711 --> 00:32:49.632]  No, no.
[00:32:51.570 --> 00:32:57.631]  The New School is a company that registers Hispanic people to be able to vote in the presidential election.
[00:32:57.831 --> 00:32:59.011]  Are you registered?
[00:32:59.031 --> 00:33:00.012]  We already voted.
[00:33:00.172 --> 00:33:00.592]  Already voted?
[00:33:00.652 --> 00:33:01.072]  Yes.
[00:33:01.152 --> 00:33:04.733]  Are you a citizen or...?
[00:33:04.753 --> 00:33:04.793]  No.
[00:33:04.873 --> 00:33:05.113]  No.
[00:33:05.873 --> 00:33:07.293]  Are you already registered?
[00:33:07.333 --> 00:33:09.534]  Did you register at work or something?
[00:33:09.914 --> 00:33:09.994]  No.
[00:33:10.134 --> 00:33:10.254]  Yes.
[00:33:10.274 --> 00:33:12.014]  Have you registered at work?
[00:33:12.874 --> 00:33:13.434]  Okay.
[00:33:13.714 --> 00:33:16.455]  Are you a citizen or not a citizen?
[00:33:17.418 --> 00:33:18.218]  Where are you from?
[00:33:18.259 --> 00:33:18.879]  From Honduras.
[00:33:18.919 --> 00:33:23.262]  Have you been registered at work or have you come here to register?
[00:33:23.322 --> 00:33:23.842]  Already.
[00:33:23.962 --> 00:33:28.545]  Are you a citizen or are you not a citizen?
[00:33:28.605 --> 00:33:29.605]  Are you citizens?
[00:33:29.665 --> 00:33:31.727]  No, no, no.
[00:33:31.747 --> 00:33:32.707]  Thank you very much.
[00:33:33.308 --> 00:33:34.768]  God bless you.
[00:33:34.788 --> 00:33:37.390]  You're telling me that if we're citizens, no.
[00:33:37.430 --> 00:33:38.791]  We're illegal.
[00:33:39.471 --> 00:33:44.054]  But we're established in this country and without us, this country wouldn't exist.
[00:33:44.094 --> 00:33:44.795]  Do you understand?
[00:33:51.456 --> 00:33:57.741]  According to Migration Policy Institute, approximately 339,000 non-citizens live in Georgia.
[00:33:58.502 --> 00:34:05.108]  If the 14% statistic holds true statewide, over 47,000 non-citizens would be registered to vote.
[00:34:05.708 --> 00:34:11.833]  For context, Joe Biden won the state of Georgia by just under 12,000 votes in the 2020 election.
[00:34:12.494 --> 00:34:13.355]  Based on our findings,
[00:34:13.775 --> 00:34:16.996]  The integrity of the 2024 election is in great jeopardy.
[00:34:17.896 --> 00:34:32.159]  Now Rasmussen, very respected polling agency, last Monday released a huge polling report and buried in it 9% of registered voters said they're illegal aliens and plan to vote.
[00:34:32.879 --> 00:34:34.080]  We put the report out last week.
[00:34:34.480 --> 00:34:34.980]  They're pulling it up.
[00:34:35.000 --> 00:34:36.080]  We'll put that on screen for you.
[00:34:37.890 --> 00:34:41.311]  And again, last week I showed you the actual Rasmussen poll.
[00:34:41.371 --> 00:34:42.051]  I printed it off.
[00:34:42.551 --> 00:34:43.011]  I showed you.
[00:34:43.031 --> 00:34:43.691]  This is video.
[00:34:44.151 --> 00:34:44.752]  Scans of it.
[00:34:46.232 --> 00:34:50.253]  So this is going on, and the number between 9 and 14 keeps showing up.
[00:34:50.673 --> 00:34:53.054]  Another big polling agency a month ago in Texas did one.
[00:34:53.074 --> 00:35:02.216]  They found 14.3% of the people saying that they voted in the last midterm, and it was 11% in Texas and the one before that.
[00:35:02.276 --> 00:35:03.196]  That was just another poll.
[00:35:04.304 --> 00:35:06.425]  So that's enough to steal the election right there.
[00:35:06.485 --> 00:35:15.551]  And the Democrats have passed laws all over the place, all over the place, to register illegals.
[00:35:15.571 --> 00:35:17.252]  They go, oh, but it's just for local elections.
[00:35:18.253 --> 00:35:19.753]  How many elections are just local?
[00:35:19.813 --> 00:35:20.334]  Almost none.
[00:35:20.354 --> 00:35:21.655]  Sometimes there's a special election.
[00:35:21.695 --> 00:35:21.975]  That's it.
[00:35:23.274 --> 00:35:30.760]  Now, incredible investigative journalists, broken some of the biggest stories in Mexico and in Central America and on the border, been kidnapped at gunpoint, you name it.
[00:35:31.280 --> 00:35:38.206]  Anthony Muckraker-Rubin joins us from Muckraker.com and Real Muckraker on X on YouTube.
[00:35:38.246 --> 00:35:40.928]  Real Muckraker, great job on this report.
[00:35:40.968 --> 00:35:49.435]  I know more is coming out to give us details and how you do this investigation that's, again, showing what the polls, when they ask them, are already showing.
[00:35:49.455 --> 00:35:50.555]  Between 9% and 14% of the voters
[00:35:54.208 --> 00:36:12.243]  Right, well, Alex, thank you for having me on, thank you for sharing the report, and I'm glad that you brought up the Rasmussen poll that they published.
[00:36:12.263 --> 00:36:16.547]  I actually hadn't even seen that exact report that you showed, but here's the deal.
[00:36:17.368 --> 00:36:20.911]  The report that we just published in conjunction with the Heritage Oversight Project
[00:36:21.431 --> 00:36:22.172]  We're good to go.
[00:36:37.643 --> 00:36:41.246]  That is very much in line with the numbers that we're seeing, between 9 and 14%.
[00:36:42.267 --> 00:36:43.608]  And so it's directionally accurate.
[00:36:43.628 --> 00:36:58.819]  And so then when you take that and you extrapolate that out, and you look at how many non-citizens are in these states, and honestly, the reports of how many non-citizens are in these states are likely underreported, and then you just extrapolate that out, this election is in critical jeopardy.
[00:36:59.319 --> 00:37:04.823]  And I'm not entirely sure, unless we, as of right now, have strict
[00:37:05.223 --> 00:37:06.043]  And remember, in Georgia,
[00:37:26.687 --> 00:37:37.796]  They indicted Trump for trying to investigate this, and then later it was found last year that indeed Trump was right, and enough illegals voted to steal the election from him and the American people.
[00:37:37.816 --> 00:37:47.545]  And again, these illegals are criminally here, but Biden told them to come here, and they're being signed up by the Democratic Party and federal agencies that bring them in.
[00:37:47.585 --> 00:37:49.687]  They believe it's okay what they're doing.
[00:37:49.707 --> 00:37:54.110]  Remember Obama famously, in two different interviews, in the 2016 election,
[00:37:55.759 --> 00:37:58.663]  He said, you know, if you're here and you come to this country, you should vote.
