# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:30.080 --> 00:00:32.719]  InfoWars, tomorrow's news, today.
[00:24:47.200 --> 00:24:48.079]  I've investigated it.
[00:24:48.240 --> 00:24:50.240]  Never saw you connect anything illegal.
[00:24:50.559 --> 00:24:52.079]  They did all these fake Jane Does.
[00:24:52.480 --> 00:24:52.960]  Makes sense.
[00:24:53.039 --> 00:24:54.480]  The Democrats had this file.
[00:24:54.720 --> 00:25:00.880]  Whatever they leave in the New York offices and drop a dime on themselves that Bondi comes and grabs is a trap.
[00:25:01.200 --> 00:25:03.599]  That actually makes a lot of sense.
[00:25:04.480 --> 00:25:07.759]  You show up to attack the second Death Star and there's the Imperial Fleet.
[00:25:07.920 --> 00:25:08.960]  It's a trap.
[00:25:09.279 --> 00:25:11.360]  People are like, Jones is covering for Trump Sunday.
[00:25:11.519 --> 00:25:13.920]  No, that makes perfect sense.
[00:25:14.559 --> 00:25:16.000]  And then so meet it head on.
[00:25:16.160 --> 00:25:25.680]  Instead, lashing out at your most ardent, battle-scarred supporters, because we're not Democrat Party cult members, is crazy.
[00:25:26.000 --> 00:25:27.840]  And I'll just say this.
[00:25:28.720 --> 00:25:48.720]  It is very paradoxical to have the Democrats frothing more viciously than ever, like World War Z zombies trying to just scratch their way in to shut this place down so they can run around metaphysically with our severed head like some Roman standard when it won't even do that.
[00:25:50.319 --> 00:25:52.400]  I've been waiting for you, Obi-Wan.
[00:25:53.360 --> 00:25:54.319]  We meet again.
[00:25:54.639 --> 00:25:56.079]  The circle is now complete.
[00:25:56.319 --> 00:25:58.319]  When I left you, I was but the learner.
[00:25:58.480 --> 00:26:00.240]  Now I am the master.
[00:26:00.559 --> 00:26:02.559]  Only a mastered of evil, Darth.
[00:26:04.480 --> 00:26:05.759]  You should not have come back.
[00:26:07.440 --> 00:26:08.480]  You can't win, Darth.
[00:26:08.559 --> 00:26:11.759]  If you strike me down, I should become more powerful than you can possibly imagine.
[00:26:12.079 --> 00:26:13.279]  But see, that's their nature.
[00:26:13.440 --> 00:26:13.920]  They don't care.
[00:26:15.839 --> 00:26:17.279]  I'm just scratching.
[00:26:18.559 --> 00:26:21.200]  Soulless, always attacking anything good.
[00:26:21.519 --> 00:26:24.559]  But you see, I will tell the truth about Trump.
[00:26:25.200 --> 00:26:30.960]  Even though his own Justice Department was getting ready to indict my enemies, I'm sure that won't happen now.
[00:26:31.279 --> 00:26:31.920]  Doesn't matter.
[00:26:32.079 --> 00:26:32.960]  I never sell out.
[00:26:33.200 --> 00:26:33.920]  I never falter.
[00:26:34.000 --> 00:26:34.720]  I never waver.
[00:26:34.799 --> 00:26:35.519]  It's impossible.
[00:26:35.839 --> 00:26:38.480]  I will tell you the truth, even if a gun's to my head.
[00:26:38.799 --> 00:26:44.400]  I commit that to all of you that I will always be true to the truth and God.
[00:26:44.720 --> 00:26:46.400]  Huge announcement, ladies and gentlemen.
[00:26:46.559 --> 00:26:48.559]  I am beyond excited about this.
[00:26:48.880 --> 00:26:50.640]  I've wanted this knife for a year.
[00:26:50.960 --> 00:26:52.079]  It's super high quality.
[00:26:52.240 --> 00:26:54.160]  They finally got the right supplier and a bunch of them.
[00:26:54.240 --> 00:27:00.720]  It's in a beautiful KeepState black box with my signature in silver lettering on the top.
[00:27:01.039 --> 00:27:04.480]  And when you go inside, this incredible combat battle dagger.
[00:27:04.640 --> 00:27:12.400]  Limited edition Alex Jones signature battle dagger, a high-tech, super high-quality sheath with a high-tech clip onto your belt or your pants.
[00:27:12.720 --> 00:27:16.880]  And it's got a special system where the knife doesn't come out when it's upside down.
[00:27:17.119 --> 00:27:18.160]  Takes a little pull to get it out.
[00:27:18.319 --> 00:27:19.200]  It is amazing.
[00:27:19.519 --> 00:27:24.160]  This is, in my opinion, the very best defense battle dagger you can get.
[00:27:24.319 --> 00:27:28.559]  It's at an incredible price for $79.99 right now.
[00:27:28.880 --> 00:27:32.240]  This knife by itself at store sells for $100 every day.
[00:27:32.480 --> 00:27:33.759]  We bought 5,000 of them.
[00:27:33.839 --> 00:27:35.599]  So got the price down really low.
[00:27:35.839 --> 00:27:40.160]  Wholesale, so we can pass that on to you and the profit we make goes in to fund this operation.
[00:27:40.240 --> 00:27:48.319]  So you don't just get a great defensive system for yourself and your family, great in your car, great in your side, great in your purse, your glove compartment, also skin a buck with it, whatever you need.
[00:27:48.559 --> 00:27:49.759]  This is an amazing knife.
[00:27:50.079 --> 00:27:56.720]  You not only, though, get something to defend yourself, you defend the Republic in the information war by funding this operation.
[00:27:56.960 --> 00:28:05.519]  So get your limited edition Alex Jones Signature Battle Dagger at theAlexJonesStore.com right now, and it keeps this operation on the air.
[00:28:05.680 --> 00:28:06.559]  This isn't just a blade.
[00:28:06.640 --> 00:28:07.519]  It's a symbol of freedom.
[00:28:07.839 --> 00:28:13.279]  Limited edition Alex Jones Signature Battle Dagger is forged by Patriots, ready to defend the Republic from the globalist agenda.
[00:28:13.360 --> 00:28:19.200]  Featuring a double-edged black coated blade for unmatched ability and precision, this dagger is built to last.
[00:28:19.440 --> 00:28:26.400]  On one side is next my signature, while the other side proudly bears 1776, a reminder that the spirit of revolution lives on stronger than ever.
[00:28:26.559 --> 00:28:31.920]  With its ergonomic non-slip grip designed, ready for any mission, the dagger isn't just a tool.
[00:28:32.079 --> 00:28:32.640]  It's a statement.
[00:28:32.799 --> 00:28:41.759]  Whether you're adding it to your collection or keeping it close as a symbol of resistance and for defense, this blade is for those who know that the answer to 1984 is 1776 get yours now.
[00:28:42.000 --> 00:28:53.440]  And then we are announcing a limited sale, the power drive bundle of power plant and methyl drive, which goes incredibly good with methylene blue.
[00:28:53.680 --> 00:28:58.079]  And both of these give you incredible natural energy, clarity, and focus.
[00:28:58.160 --> 00:29:00.559]  But you mix them together with methylene blue.
[00:29:00.720 --> 00:29:06.880]  I will tell you in Chase Geyser's observation himself, 10 times stronger than TurboForce.
[00:29:07.200 --> 00:29:08.240]  Did you hear what I just said?
[00:29:08.559 --> 00:29:11.759]  10 times stronger than TurboForce.
[00:29:12.000 --> 00:29:12.880]  Get yours now.
[00:29:13.200 --> 00:29:14.559]  Discounted massively.
[00:29:14.799 --> 00:29:17.360]  50% off when you get them together.
[00:29:17.599 --> 00:29:25.519]  50% off on the power drive bundle for a limited time, one week at thealexjonestore.com.
[00:29:25.680 --> 00:29:28.799]  and it funds this operation 1776 worldwide.
[00:29:28.799 --> 00:29:44.538]  *Dramatic Music*
[00:29:44.720 --> 00:29:52.079]  Trump is still meeting with the Bahrainian prime minister, and he's been taking questions.
[00:29:52.319 --> 00:30:03.440]  And one of the questions was what's going on with the Epstein list that you were going to release, then didn't exist.
[00:30:03.680 --> 00:30:05.440]  Now you're going to release what you can.
[00:30:06.240 --> 00:30:08.000]  No, nobody should look at it.
[00:30:08.160 --> 00:30:09.680]  It's a Democrat hoax.
[00:30:11.360 --> 00:30:24.639]  Why don't you explain that it was Comey and Brennan and Clapper that had it and controlled the file and left what they wanted in New York and then dropped a dime on themselves so that then Bondi would go grab it.
[00:30:27.759 --> 00:30:30.079]  And then now they find out what's in it.
[00:30:32.000 --> 00:30:37.119]  And Musk finds out a couple months ago and he hightails it out of the White House.
[00:30:37.840 --> 00:30:40.480]  Looked like he saw a ghost aged about 10 years in a week.
[00:30:40.799 --> 00:30:41.360]  He's bounced back.
[00:30:41.440 --> 00:30:45.440]  But I mean, he went from looking good to like gray skin, wrinkles.
[00:30:45.599 --> 00:30:47.279]  I mean, he black eye.
[00:30:47.920 --> 00:30:50.639]  I mean, it looks like he had some real hearts to hearts.
[00:30:53.599 --> 00:30:57.920]  Looked like he'd seen a poltergeist.
[00:31:00.639 --> 00:31:05.519]  And I said then, I got a bad feeling about this.
[00:31:06.480 --> 00:31:08.639]  Everybody made it a which side are you on thing?
[00:31:08.720 --> 00:31:13.279]  And I'm like, these people are both very smart and powerful and have been doing a good job pro-America.
[00:31:13.599 --> 00:31:14.639]  We need them both.
[00:31:19.200 --> 00:31:22.559]  And the best laid plans of mice and men often go astray.
[00:31:22.639 --> 00:31:26.480]  And for all the Democrats hoping Trump collapses somehow over this, that's not going to happen.
[00:31:26.799 --> 00:31:27.519]  He's very popular.
[00:31:27.599 --> 00:31:29.200]  He's doing a great job overall.
[00:31:29.840 --> 00:31:38.639]  But from insiders that know Trump very well, they say all the pressure on him and his family, the attempts to kill him, he's such a workhorse that he didn't crack up.
[00:31:39.279 --> 00:31:40.960]  He didn't fall apart.
[00:31:41.599 --> 00:31:43.119]  He didn't become a failure.
[00:31:43.279 --> 00:31:49.200]  He didn't buckle the stress, but he, like doomsday, the more you attack him, the stronger he gets.
[00:31:49.519 --> 00:32:02.639]  And I'm only 51 and being messed with and attacked and just viciously lied about and persecuted doesn't make me feel sorry for myself, doesn't make me want to give up.
[00:32:02.799 --> 00:32:04.639]  It makes me want to fight even harder.
[00:32:04.960 --> 00:32:07.200]  And I've had to pray a lot about this.
[00:32:07.840 --> 00:32:09.440]  And I think you've seen it on air, folks.
[00:32:09.759 --> 00:32:27.920]  It's not demonic energy, but if you study it and experienced it, tectonic, berserker, extreme male will is fleshly and it's something God gave us to be able to use to defend ourselves and motivate ourselves.
[00:32:28.240 --> 00:32:30.079]  But the devil can jack into that energy.
[00:32:30.400 --> 00:32:32.160]  Mike Tyson's talked about it.
[00:32:33.039 --> 00:32:41.519]  And so when I get in that state, I resonate stronger with the dark side, and I got to be real careful because I'm very empathic.
[00:32:41.839 --> 00:32:44.319]  We all are, but I'm extremely empathic.
[00:32:44.960 --> 00:32:47.839]  And you don't want something to jump in in the driver's seat.
[00:32:50.640 --> 00:32:52.720]  So the ring of Mordor is right there.
[00:32:52.960 --> 00:32:55.680]  I can just go right now.
[00:32:56.319 --> 00:32:58.240]  It's very tempting.
[00:32:58.559 --> 00:33:01.200]  I would become a terrible king.
[00:33:03.118 --> 00:33:24.799]  I'm not going to put on the ring I'm not going to put on the ring Trump put it on, boys and girls, about he was flirting, putting it on and off until Butler, he put it on.
[00:33:25.359 --> 00:33:29.440]  When he hit the ground, you see that photo of him on the ground bleeding.
[00:33:29.519 --> 00:33:30.319]  You look at that face.
[00:33:30.480 --> 00:33:33.599]  When he popped back up, ring went on.
[00:33:33.920 --> 00:33:35.440]  And that's what's going on.
[00:33:37.279 --> 00:33:39.759]  That's the best analogy, but it's not a movie.
[00:33:40.400 --> 00:33:41.599]  That's a great archetype.
[00:33:41.759 --> 00:33:43.119]  It's not a book.
[00:33:43.440 --> 00:33:50.400]  It's what that book is based on in the real world is an allegory about the genius J.R.R. Tolkien.
[00:33:51.680 --> 00:33:59.359]  And so, yeah, Trump's enemies ought to really watch out because he put it on.
[00:34:00.240 --> 00:34:03.599]  And what he's saying to everybody is, you better get out of my way.
[00:34:04.480 --> 00:34:06.319]  And I'm a chronicler.
[00:34:07.960 --> 00:34:11.420]  I alone can tell you of the days of great adventure.
[00:34:11.420 --> 00:34:18.230]  I alone can tell you of the days of great adventure.
[00:34:18.239 --> 00:34:23.199]  That's the intro to that classic Millis masterpiece, Cohen the Barbarian.
[00:34:23.679 --> 00:34:25.920]  The second one was terrible by the director of the writer.
[00:34:26.400 --> 00:34:38.639]  What a powerful representation of the great archetypal books of Robert E. Howard from Texas, who himself could have been the heavyweight champion.
[00:34:38.960 --> 00:34:40.000]  What a maniac.
[00:34:41.920 --> 00:34:44.000]  You know, you're reading those Conan books.
[00:34:44.079 --> 00:34:44.960]  That's what's in his mind.
[00:34:45.199 --> 00:34:48.639]  Untrained writer writing that savage stuff because that's what was in him.
[00:34:48.960 --> 00:34:52.880]  And his mother died, so he blew his head off in the parking lot of hospital in Texas.
[00:34:53.199 --> 00:35:07.360]  But the point is, is that see if you guys can find the intro to Conan where it's got the chronicle and he goes, I alone can tell you the days of great adventure.
[00:35:07.679 --> 00:35:09.360]  But see, that's my archetype.
[00:35:09.679 --> 00:35:12.800]  My job is to tell you what I really think.
[00:35:13.119 --> 00:35:20.079]  And that means I can't comport myself into these different factions and groups and all the rest of it.
[00:35:20.320 --> 00:35:22.880]  I'm not going to tell you what I want to believe.
[00:35:23.199 --> 00:35:25.519]  I'm not going to tell you what I want to happen.
