[00:00.000 --> 00:07.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[01:37:57.620 --> 01:38:02.840]  My crew they follow you around. They can't all that last night. Yeah, I saw the exact same thing here in Austin, Texas
[01:38:03.420 --> 01:38:09.460]  Not in Berlin not in Syria not Iraq. I saw it here in Austin the rot rally is going on
[01:38:09.460 --> 01:38:15.260]  It's a big motorcycle rally and there are a lot of motorcycle clubs have veterans in them
[01:38:15.260 --> 01:38:20.500]  And they wear the patches that say what units that they were and they were in the Marines or they're in the Army 101st Division
[01:38:20.500 --> 01:38:26.260]  They deployed Iraq to deployed Afghanistan. Well, these groups of middle Middle Easterners here in Austin, Texas
[01:38:26.260 --> 01:38:27.700]  We're kind of
[01:38:27.700 --> 01:38:33.980]  posturing and following these veteran groups around passive aggressively kind of trying to intimidate these guys letting them know
[01:38:33.980 --> 01:38:37.220]  Hey, we know we know that you guys went and killed some of our friends
[01:38:37.220 --> 01:38:40.380]  But it's not going to happen anymore because we're here now and that's like
[01:38:41.060 --> 01:38:44.300]  I mean shaved heads beards white shirts
[01:38:44.300 --> 01:38:50.620]  They're their wives or girlfriends or whoever were with them in their burkas just about a block away could see them and I could
[01:38:50.620 --> 01:38:53.300]  Saw their together because they're looking but oh my god
[01:38:53.300 --> 01:38:57.180]  They were showing off to them. Yep downtown Austin like a gang look at this ladies
[01:38:57.180 --> 01:38:59.540]  I'm gonna creep up to some veterans who don't even know what's going on
[01:38:59.540 --> 01:39:03.460]  I guess it's like 1980 in LA and it was the bloods in the crypts like I don't know no look
[01:39:03.460 --> 01:39:10.580]  I'm here like a can I show folks the photo you sent me about a week ago. Which one the the domain. Yeah
[01:39:10.580 --> 01:39:14.900]  Yeah, here here. Is that okay? Yeah, it's fine here document cam shot for TV viewers
[01:39:14.900 --> 01:39:18.420]  This is exactly what I saw at the domain a few weeks ago
[01:39:18.420 --> 01:39:22.980]  And I also saw this at Barton Creek where I've been going since I was a little kid when I visit my grandparents and folks the thing is
[01:39:23.780 --> 01:39:28.220]  They're there. You know, they weren't burkas. They're wearing hajibs. They're bugging their eyes out at you
[01:39:28.260 --> 01:39:31.220]  They're literally setting up and having picnics out there
[01:39:31.220 --> 01:39:36.220]  Just like it's the Middle East or whatever at the middle of the mall and another thing against these poor people other the fact that
[01:39:36.220 --> 01:39:41.140]  They literally they are in a cult and think I should submit and this is just everywhere
[01:39:41.140 --> 01:39:46.900]  Yeah, look at the age so the significance of this picture not not that I was downtown Austin at a really swanky
[01:39:47.740 --> 01:39:53.260]  Outdoor mall type place the age of them, right? They're all somewhere between the 20s and 30s
[01:39:53.260 --> 01:39:59.100]  But that is prime fighting age. Where are their husbands? Did anybody see him? No, I was about to say that's what happened
[01:39:59.100 --> 01:40:00.900]  I turn one corner and the women all have to wait
[01:40:00.900 --> 01:40:03.820]  They're not allowed to even walk around and then I'd see the groups of men
[01:40:03.820 --> 01:40:07.800]  They've all kind of adopted kind of gangster culture like a weird mutation. So this guy's like
[01:40:09.300 --> 01:40:15.100]  And then meanwhile the women are all over here and it's just like what the hell? Yeah, we have to start understanding
[01:40:15.100 --> 01:40:19.140]  You know, it's it is a unique culture. They do things differently. They speak differently
[01:40:19.660 --> 01:40:25.480]  When I say they speak they're speaking English often times now, but they communicate in ways that
[01:40:26.460 --> 01:40:32.220]  You know just like the abonics in 1980s of the Bloods and the Crips unless you're part of the game task force
[01:40:32.220 --> 01:40:35.060]  You couldn't understand what they are taught. So what was the point?
[01:40:35.660 --> 01:40:41.700]  This stalking the veterans at the rot rally. Was this just Caling Coo showing off the ladies? It was one of two things
[01:40:41.700 --> 01:40:43.700]  It was either to try to
[01:40:43.860 --> 01:40:49.860]  Test resolve, you know, if you posture and to see what a response is and maybe even had something kicked off
[01:40:51.300 --> 01:40:55.300]  Had their their women video it the point is I've lived here my whole life
[01:40:55.300 --> 01:41:00.940]  There's like Muslims everywhere now in full outfits in Austin the center of central Texas
[01:41:00.940 --> 01:41:06.660]  And I've read phase two once their numbers get high enough then they all start wearing it. They're getting us ready and
[01:41:07.380 --> 01:41:11.860]  Once once we don't submit once we don't still assimilate
[01:41:13.500 --> 01:41:20.060]  They kill us so so did I mean do these vets notice what was happening to them the vets were there enjoying the rot rally
[01:41:20.060 --> 01:41:27.240]  They're drinking. I don't drink ever in public. I'm always armed and you know, and you're not supposed to drink when you're carrying so
[01:41:27.240 --> 01:41:32.560]  You know, I was just watching these guys from behind as they were posturing against these vets
[01:41:32.560 --> 01:41:35.960]  And I was like, um, I'll shoot these guys in the back if this actually kicks off
[01:41:36.080 --> 01:41:40.760]  No, not in a fight like if they weapons weapons. Yeah, something pulls something out
[01:41:40.840 --> 01:41:45.360]  They're gonna get buried right there. That's the veterans were just kind of trying to enjoy themselves
[01:41:45.360 --> 01:41:49.800]  They're just like hey, we're downtown Austin on 6th Street, you know with our motorcycles having a great time
[01:41:49.920 --> 01:41:51.920]  What were you down there for a movie from Arizona?
[01:41:51.920 --> 01:41:57.160]  Oh another TV show that's gonna be coming out and I suppose promoting it man. You are so busy
[01:41:57.160 --> 01:42:01.280]  Yeah, I love the fact you work even more than I do most people look at me sometimes over like 18 hours
[01:42:01.280 --> 01:42:04.820]  They're like, why do you do this? Like I can't help it. It's like there's so much stuff to cover and do
[01:42:05.080 --> 01:42:08.520]  Rob do we're going to break in a moment. All I can say is get ready for a big bonus
[01:42:08.520 --> 01:42:14.980]  I hope people buy some products and then for store.com so I can afford it. We've got a lot of new products out there
[01:42:14.980 --> 01:42:22.860]  At m4slife.com that fund the whole operation but living defense only came in once back during December and was so popular
[01:42:22.860 --> 01:42:26.300]  It's parasite cleanse that it's sold out in two days
[01:42:26.300 --> 01:42:32.220]  We ordered three times the number took a six months to get it because it's got 27 ingredients and the past California standards
[01:42:32.220 --> 01:42:37.740]  We totally clean it's hard to get those 27 ingredients. That would be totally organic. Well, we finally got it together. We have a
[01:42:38.700 --> 01:42:41.240]  Supply of this but selling out the next few days
[01:42:41.240 --> 01:42:48.100]  Yeah, it's 120 capsules and we're discounting at 25% off even though it's selling out because I want you to take advantage of this
[01:42:48.100 --> 01:42:52.920]  At info wars life calm and that helps us find this operation sending our crew all over the world
[01:42:53.000 --> 01:42:57.080]  You'll be right back with Rob do Joe Biggs and Jim Kennedy. I'm Alex Jones
[01:42:58.480 --> 01:43:02.560]  It's not just our water we need to filter. It's not just our food that needs to be cleaned
[01:43:02.560 --> 01:43:09.040]  It's the air we're breathing especially for our children the artificial particulates with the chemicals is absolutely
[01:43:09.040 --> 01:43:15.600]  Weighing down our immune systems the same team based right here in America that brought you the Alexa pure
[01:43:16.080 --> 01:43:21.720]  groundbreaking water filtration systems have now developed Alexa pure breeze whether it's your home or office
[01:43:21.720 --> 01:43:26.480]  He owe it to yourself your coworkers your family your children to the best job
[01:43:26.480 --> 01:43:31.480]  You can to purify your air one of these systems can keep 800 square feet incredibly clean
[01:43:31.480 --> 01:43:32.480]  This is a system
[01:43:32.480 --> 01:43:39.000]  I'm personally putting in throughout my house replacing older more expensive filters that didn't do as good a job the Alexa pure
[01:43:39.000 --> 01:43:43.800]  Breeze would be a steal at three hundred four hundred five hundred dollars. It's normally two hundred twenty plus dollars
[01:43:43.800 --> 01:43:51.400]  But right now for limited time. It's less than two hundred dollars at info or store.com and the small profit we make goes to find our reporters
[01:43:51.400 --> 01:43:57.140]  This is a 360 when find out why this system is so revolutionary today info or store.com
[01:43:58.200 --> 01:43:59.080]  Hey everyone
[01:43:59.080 --> 01:44:02.440]  Farms has been fuchs here host of the bright side and as many of you know
[01:44:02.440 --> 01:44:05.240]  I'm on a mission to help Americans get and stay healthy
[01:44:05.240 --> 01:44:09.760]  You've all heard the shocking statistics despite spending trillions of dollars in health care nearly
[01:44:10.480 --> 01:44:12.880]  $10,000 per man woman and child in this country
[01:44:13.280 --> 01:44:17.440]  Obesity diabetes cancer heart disease and autoimmune illnesses are rampant
[01:44:17.440 --> 01:44:23.760]  One out of three or four people is dealing with some kind of health challenge and everyone knows at least one person with a degenerative disease
[01:44:23.840 --> 01:44:28.080]  If you are dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity
[01:44:28.080 --> 01:44:33.480]  And you're looking for a convenient easy way to incorporate nutritional raw materials into your day-to-day lives
[01:44:33.480 --> 01:44:39.760]  To guarantee that your body is getting the fundamental nutrients the 90 essential vitamins minerals fats and amino acids
[01:44:39.760 --> 01:44:44.480]  It needs to do its healing work. You need to check out info wars team.com
[01:44:44.720 --> 01:44:52.040]  Give your body the gift of good nutrition head over to info wars team.com your body will be very grateful on the web at
[01:44:52.200 --> 01:44:56.420]  Info wars team.com. That's info wars team.com
[01:44:56.420 --> 01:45:02.620]  Shower filters, we're introducing the best yet the brand-new
[01:45:03.140 --> 01:45:10.700]  Pro pure pro max high-performance shower filter it removes and reduces over 200 contaminants while preserving a strong powerful flow
[01:45:10.700 --> 01:45:17.820]  This new four-stage filtration process helps protect the largest organ in your body your skin from the unhealthy contaminants in the water
[01:45:17.820 --> 01:45:23.020]  You can find more details on this amazing new filter and free shipping at info wars store.com or call
[01:45:23.020 --> 01:45:30.300]  Triple eight two five three three one three nine to order your pro max shower filter from propure today when cells become toxic
[01:45:30.300 --> 01:45:37.940]  They die early and aging sets in no one has put together a formula that focuses directly on brain health nerve growth factors and
[01:45:38.220 --> 01:45:43.020]  Optimizing your cellular energy at the same time just one of the key compounds bio
[01:45:43.300 --> 01:45:48.560]  PQQ is backed by major clinical studies. You want the best that's out there at the lowest price anywhere
[01:45:48.560 --> 01:45:57.380]  We now have the synergistic solution secure your DNA force today at info wars life.com or call toll-free 888 253 3139
[01:45:58.580 --> 01:46:04.540]  A clean toxic free body is the foundation of true health deep cleanse by info wars life.com a
[01:46:04.940 --> 01:46:11.340]  Scientifically formulated blend of nano colloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals
[01:46:11.420 --> 01:46:17.860]  Using on proprietary multi-step extraction technology deep cleanse our most affordable all-in-one cleanser with concentrated
[01:46:17.860 --> 01:46:24.920]  Organic compounds like cilantro milk thistle fulvic acid orange peel zeolites and others deep cleanse
[01:46:25.060 --> 01:46:29.780]  Doesn't hold back instead of buying five six or even seven different cleansing products
[01:46:29.780 --> 01:46:35.060]  We use decades old scientific research to put together the Rolls Royce of all-in-one cleansing
[01:46:35.060 --> 01:46:39.540]  Look, there's a reason deep cleanse is the only product on the market that uses our proprietary
[01:46:39.900 --> 01:46:42.180]  Despite your ex herbal processing technique
[01:46:42.180 --> 01:46:48.620]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there
[01:46:48.620 --> 01:46:53.460]  If you wish to find deep cleanse and experience the all-in-one cleansing visit info wars life.com
[01:46:53.460 --> 01:46:58.020]  That's info wars life.com or call 888 253 3139
[01:46:58.020 --> 01:47:05.940]  You're listening to the Alex Jones show
[01:47:05.940 --> 01:47:34.940]  Wow a lot of crazy stuff going on here behind the scenes, but I
[01:47:35.940 --> 01:47:39.900]  Our reporter has gotten to the nightclub the scene of where 50-plus people were killed
[01:47:40.420 --> 01:47:45.860]  At the gay nightclub. I'm just busy looking at news headlines blaming the Patriot community and the second amendment
[01:47:45.860 --> 01:47:51.180]  Well, wow, we all did this I have a criminal runs over somebody with a car, you know, I guess it's all car drivers faults
[01:47:51.700 --> 01:47:54.340]  Tim Kennedy is our guest special forces
[01:47:55.060 --> 01:48:01.300]  veteran expert on terrorism Rob do we've lost his connection. We're going to be having Joe Biggs pop in from
[01:48:01.300 --> 01:48:09.140]  The site of this attack and and again even the FBI is on the news saying they're expecting more attacks that this is part of these
[01:48:09.820 --> 01:48:14.420]  These these these radicalized groups out there taking action other points
[01:48:14.420 --> 01:48:19.100]  We haven't made while we're getting a job based on the line other points Tim Kennedy that you'd like to relate to folks
[01:48:19.100 --> 01:48:21.380]  I appreciate you coming on a short notice on Sunday
[01:48:21.420 --> 01:48:28.860]  So when you first when a terrorist attack first goes down or I go overseas and I take down a target the information
[01:48:28.860 --> 01:48:32.020]  What we call bit battlefield integration techniques? It's
[01:48:32.700 --> 01:48:35.060]  The most important bit of information
[01:48:35.940 --> 01:48:41.380]  That you're going to get you know like in a in a kidnapping the first few minutes so vital
[01:48:41.860 --> 01:48:44.420]  So right now what the FBI and the CIA is doing?
[01:48:44.860 --> 01:48:49.660]  They're scrubbing his phone. He died unfortunately, so we can't interrogate him. They're going to his family
[01:48:49.660 --> 01:48:52.900]  They're going to his friends. They're going to every single person. He's talked to in the past five six days
[01:48:52.900 --> 01:48:56.260]  His Twitter feed his Facebook feed and those are live
[01:48:56.260 --> 01:49:03.900]  Active investigations right every single one of those you can like think of it like a like a threat of a virus like a
[01:49:04.140 --> 01:49:08.100]  If those if their weeds and the seeds had just pollinated and they're flying
[01:49:08.500 --> 01:49:11.540]  They're trying to catch every single one of those because there are little bits of information
[01:49:11.940 --> 01:49:18.220]  That could potentially save other American lives and we know for a fact that if there's one they can't do it alone
[01:49:18.220 --> 01:49:21.740]  The lone wolf thing I don't believe in it. I don't think it's true
[01:49:21.740 --> 01:49:26.740]  I believe that they're they are segregated that they are organized cellularly
[01:49:26.740 --> 01:49:29.740]  But that does not mean that they're lone wolf because they're so there's support groups
[01:49:29.740 --> 01:49:33.300]  Yeah, like they're they're they're e-moms are encouraging them
[01:49:33.300 --> 01:49:36.380]  They're even connecting them with other people showing them how to
[01:49:36.940 --> 01:49:43.020]  Purchase a weapon legally how to get a license how to get money from the government how to say the right things the right time to the
[01:49:43.020 --> 01:49:45.740]  Right people so they can stay kind of off the radar
[01:49:45.740 --> 01:49:51.700]  And we have this e-mom right there in Orlando saying the very things we saw just happened
[01:49:51.700 --> 01:49:57.940]  I wonder if he's getting investigated or maybe maybe Obama will have her the White House. Yeah, I listen this and what we say
[01:49:58.100 --> 01:50:00.600]  Investigated there's one way that you talk to this guy
[01:50:01.500 --> 01:50:08.340]  That is he's bent over a sink with a towel over his head your porn water on his face and beating him. He just
[01:50:08.340 --> 01:50:16.460]  Encouraged radical radicalized Muslims to kill gays to kill Americans on American soil. He's a terrorist
[01:50:17.020 --> 01:50:20.740]  He's part of the problem. He's fighting a war and he's one of the warriors
[01:50:21.740 --> 01:50:23.740]  Interrogate him. Well, here's the bottom line
[01:50:23.940 --> 01:50:27.500]  Bob Trump comes out and says that and gets attacked but he said there will be more Brussels
[01:50:27.500 --> 01:50:32.940]  There will be more San Bernardino's in fact you guys queue up one of those and and they're already in the media attacking him
[01:50:33.980 --> 01:50:36.140]  Where somebody congratulated him for being right?
[01:50:36.140 --> 01:50:40.500]  He said well, thanks for the congratulation as if he's congratulating the attack. No, he's saying thanks for saying I'm right
[01:50:40.500 --> 01:50:42.500]  But I mean all he's saying is common sense
[01:50:45.300 --> 01:50:49.060]  Definitely not the best act and how he speaks but Donald Trump always speaks the same way
[01:50:49.140 --> 01:50:50.500]  But what he said was right
[01:50:50.500 --> 01:50:54.860]  It's the same thing that you said same thing that I said that there were gonna be more attacks and they're gonna be more vicious
[01:50:54.860 --> 01:51:00.340]  They're gonna be more violent. They're gonna be more lethal and and I'm saying it again today that there are gonna be more attacks
[01:51:00.340 --> 01:51:03.140]  And if we don't do something there more people are gonna die
[01:51:03.140 --> 01:51:07.140]  I've had different doctorates and folks on that are experts on Islam and its whole history
[01:51:07.140 --> 01:51:11.020]  And they said there's a metric that once they get to like five ten percent it varies in the country
[01:51:11.380 --> 01:51:15.940]  That then there's a confidence level you're not gonna be able to kick us all out and all of our liberal behavior apologizing
[01:51:17.020 --> 01:51:24.780]  Encourages now folks who say okay. It's now time for us to activate and start the attacks. Yeah, we last you're right at that
[01:51:24.780 --> 01:51:30.060]  The ratio the percentage of you know got three to four percent. We're somewhere between that five to ten percent this year
[01:51:30.060 --> 01:51:36.740]  That that that is fearless that is go start killing Americans anybody that doesn't agree with you
[01:51:36.740 --> 01:51:40.580]  That's Americans so and then they hope there's a tax on other Muslims back
[01:51:40.820 --> 01:51:46.300]  Because then that will spur the radicalization of the other Muslims and then then the full jihad zone. Yeah, well jihad is on
[01:51:46.380 --> 01:51:47.460]  It's on right now
[01:51:47.460 --> 01:51:49.580]  So I mean they're looking for a fiery conflagration
[01:51:49.940 --> 01:51:56.780]  Ally with the left and the George Soros crowds Joe Biggs is out in front of the nightclub where 50 plus people were killed last night
[01:51:56.780 --> 01:52:02.060]  Joe Biggs a great job getting up early this morning from Texas and getting on all those flights out there
[01:52:02.060 --> 01:52:04.060]  You're now in the rain Joe Biggs
[01:52:04.060 --> 01:52:06.500]  Roger that Joe Biggs here with info wars.com now
[01:52:06.500 --> 01:52:11.500]  We just arrived in Orlando and as you can see there's a lot of police vehicles right here in the center of the road
[01:52:11.540 --> 01:52:16.180]  The nightclub's actually right down to maybe about 50 so yards from us at this point in time
[01:52:16.300 --> 01:52:22.900]  You know what we're seeing right now so far as I'm reading through articles on the flight here as everyone's one attack the second
[01:52:22.900 --> 01:52:25.300]  Amendment what happens though if we take those guns away
[01:52:25.300 --> 01:52:27.300]  What's gonna happen these guys are gonna build bombs
[01:52:27.300 --> 01:52:29.860]  I can't even have to argue with these people
[01:52:30.060 --> 01:52:35.580]  But stop attacking American freedom had a vest on guess what if he would have had a bomb and it would have went off
[01:52:35.620 --> 01:52:41.220]  That would have been way more people like 200 people and said I'm sitting here driving through Orlando listening to everyone
[01:52:41.340 --> 01:52:45.900]  Apologize how we need to not blame Muslims for this. We don't need to blame
[01:52:45.900 --> 01:52:48.980]  Oh pulse was a gun-free zone pulse was a gun-free zone
[01:52:49.700 --> 01:52:54.940]  We're too scared to call this what it is radical is on we have a problem the borders are wide open
[01:52:54.940 --> 01:52:58.780]  We have a president that could care less about the American people
[01:52:59.140 --> 01:53:06.620]  Christianity is being attacked American values are being attacked men in America are being attacked and we're allowing these terrorists to come in here
[01:53:06.620 --> 01:53:10.940]  And now we have sleeper cells starting to wake up. They're being activated
[01:53:11.180 --> 01:53:15.900]  We almost had another attack a large one in LA at another gay pride parade today as well
[01:53:15.980 --> 01:53:18.060]  So this is gonna continue happening
[01:53:18.060 --> 01:53:22.580]  I heard some of things Tim said earlier before I got on the flight to leave Austin to come here
[01:53:22.580 --> 01:53:25.260]  And he said he believes it's gonna get worse before it gets better
[01:53:25.260 --> 01:53:30.380]  And I do agree with that from the things I've seen and how these people are because we don't have secure borders
[01:53:30.380 --> 01:53:31.460]  Sure
[01:53:31.460 --> 01:53:37.820]  By the way, Rob Jacobs is there running camera doing a great job as well Rob feel free to pan around zoom in while Joe's talking for TV
[01:53:37.820 --> 01:53:40.820]  Viewers ready illiterates go to info wars.com forward slash show
[01:53:41.700 --> 01:53:46.100]  Sure, great job guys. Yeah, just show more what we got on the street pan around. Let's try to zoom in on the nightclub
[01:53:46.100 --> 01:53:48.820]  Please continue and jump with any questions Tim
[01:53:48.820 --> 01:53:56.380]  I think a key point that that big just brought up both the both the guy in Orlando and the guy in Los Angeles
[01:53:56.380 --> 01:53:59.420]  They both had bombs those were not guns that they bought
[01:53:59.620 --> 01:54:05.580]  They had bombs both of which would have been more lethal than the guns that they had the guns were a secondary plan
[01:54:05.580 --> 01:54:10.260]  And they're both and they're both also I think you guys can probably go through the line and go on for the media
[01:54:10.780 --> 01:54:15.220]  Also your press also we have to expand on this Joe
[01:54:15.220 --> 01:54:21.540]  These people are registered Democrats. These are liberals. These are people that are allied with Islam
[01:54:21.540 --> 01:54:23.020]  So these guys are liberals as well
[01:54:23.020 --> 01:54:28.780]  They're Democrats and then they strike at their very bosom of the people that are trying to aid them and help them
[01:54:29.060 --> 01:54:31.060]  showing the cowardice
[01:54:31.260 --> 01:54:32.380]  Tim
[01:54:32.380 --> 01:54:39.860]  Yeah, it's so despicable like you can't even process like so they killed the unarmed
[01:54:39.860 --> 01:54:47.380]  People at the nightclub that were primarily gay that have been trying to support them for the past
[01:54:47.540 --> 01:54:53.420]  Three four years and facilitate their movement as immigrants here and saying hey, we have we have like fights here
[01:54:53.420 --> 01:54:55.860]  You know, we have similar causes. We're both prejudice
[01:54:55.860 --> 01:54:57.380]  We're gonna be stabbed in the back job eggs
[01:54:57.380 --> 01:54:59.860]  I hear you're trying to jump in great point Tim and by the way breaking news
[01:55:00.100 --> 01:55:03.740]  Just what Tim was tell what we're talking about earlier for my source that Tim was confirming
[01:55:03.900 --> 01:55:07.220]  eight people on a ISIS Orlando kill list
[01:55:07.220 --> 01:55:12.340]  And of course the FBI told you you're on that kill list job eggs, please continue
[01:55:12.700 --> 01:55:17.260]  Well, one of the interesting things is we're being told continuously that this is a religion of peace
[01:55:17.260 --> 01:55:21.340]  So we need to be understanding of what's going on that we should in fact
[01:55:22.300 --> 01:55:28.020]  Apologize because this attack is our fault because that these guys have to grow up in such a hateful environment because
[01:55:28.020 --> 01:55:36.900]  Islamophobia exists and that's why this happened. No, this guy hated homosexuals the entire religion hates homosexuals and guess what happened
[01:55:36.900 --> 01:55:41.540]  This guy saw two guys kiss it flipped his lid and he went out and carried this out
[01:55:41.540 --> 01:55:44.060]  He took advantage of the fact that he had the security clients
[01:55:44.060 --> 01:55:47.260]  He went and got guns like you said if that bomb would have been off
[01:55:47.260 --> 01:55:52.540]  It would have been ten times worse and they would have still gone the whole left would have been like well, you know
[01:55:52.540 --> 01:55:57.500]  We need to be more progressive. We shouldn't blame them and then they bring sure that's his dad's cover story
[01:55:57.500 --> 01:55:59.260]  He knows the whole deal the guy pledged lesions
[01:55:59.260 --> 01:56:06.380]  I had the dad is to blame the dad should be held accountable for son's actions because he knew what the hell was going on that guy knew
[01:56:06.380 --> 01:56:07.580]  That this son was radicalized
[01:56:07.580 --> 01:56:10.500]  I said the same thing father and Sam Bernardino just like the father
[01:56:10.500 --> 01:56:15.500]  I'll say who else Obama and the Democrats letting these people in and the Republican leadership doing it, too
[01:56:15.660 --> 01:56:20.900]  What's gonna happen when there's hundreds of attacks Tim and Joe they're not gonna be able to spend this forever
[01:56:21.980 --> 01:56:24.020]  So we see a reoccurring theme here, right?
[01:56:24.020 --> 01:56:31.060]  We have we have won't we have two shooters two different instances both West Coast East Coast both on hit on hit on not hit list
[01:56:31.060 --> 01:56:35.060]  I wish both on lists from the CIA and the FBI as
[01:56:35.620 --> 01:56:40.100]  Being caused for concern right but the years later now two years later
[01:56:40.100 --> 01:56:44.980]  They were able to execute their plan and then kill America just like Major Assange. Oh, you're doing a great job
[01:56:44.980 --> 01:56:49.580]  Follow more reports. We'll put them to info wars.com everything. We're doing is going viral right now
[01:56:49.580 --> 01:56:56.460]  But report there from the nightclub. We're out of time. Thank you so much, Joe and of course, Rob Jacobson any other points in the 30 seconds
[01:56:56.460 --> 01:56:57.900]  We have left
[01:56:57.900 --> 01:57:01.060]  Just the fact that we need to open up and call this what it is, you know
[01:57:01.460 --> 01:57:07.620]  This is radical Islam people need to be vigilant people need to watch your backs just because you watch these interviews everyone goes
[01:57:07.620 --> 01:57:12.140]  Well, he seemed like such a nice guy. Well, they all do until something happens. There's a war going on right now
[01:57:12.140 --> 01:57:14.700]  These guys are activated and we need to be on alert
[01:57:14.700 --> 01:57:21.740]  Absolutely well great job get in there with the reporters find out what you can we'll look for those reports at info wars.com as you guys upload them
[01:57:21.740 --> 01:57:26.860]  Thank you so much and stay there. You know at least till Tuesday, so we get more intel tomorrow and those other folks
[01:57:26.860 --> 01:57:31.740]  I know from the crew. They're gonna be getting out there to Florida. So hopefully hook up with them Joe Biggs
[01:57:31.740 --> 01:57:35.820]  I'll talk to you after the broadcast. Thank you. Thanks. All right, Tim Kennedy
[01:57:35.820 --> 01:57:40.180]  Thanks for coming and spending part of your Sunday night with us and we'll be covering it all tomorrow 11 a.m.
[01:57:40.180 --> 01:57:42.980]  Central at info wars.com for the big weekday show
[01:57:42.980 --> 01:57:45.820]  There's so much more. We'll break it all down. Great job the proof. Thank you, Tim
