[00:00:14.774 --> 00:00:21.777]  InfoWars, the most banned network in the world.
[00:29:15.618 --> 00:29:16.158]  We're good to go.
[00:29:35.365 --> 00:29:35.565]  Thank you.
[00:30:00.878 --> 00:30:07.806]  I want to explain something that is absolutely key to understanding our world that's very, very simple but that most people don't know.
[00:30:07.806 --> 00:30:19.818]  The privately owned central banks of the world are artificially creating thousands of trillions of dollars in other major currencies and using them to buy up infrastructure,
[00:30:20.679 --> 00:30:38.117]  Intellectual property, energy, they're using it to buy people, to buy influence, and in the past they created thousands of trillions so that they could leverage that, manipulate markets, but they never allowed that money to get into the general circulation or it would cause massive inflation.
[00:30:38.117 --> 00:30:43.923]  Now they've gone ahead and weaponized it and are flooding every sector of the world economy, buying up everything.
[00:30:44.543 --> 00:30:53.773]  Not to have the companies operate, but to actually shut them down and force a collapse of civilization, making the companies they do fund be the only things left standing.
[00:30:53.773 --> 00:30:55.074]  This is the Great Reset.
[00:30:55.074 --> 00:30:56.656]  This is what's happening now.
[00:30:56.656 --> 00:30:57.357]  Warn everyone.
[00:30:57.357 --> 00:30:58.338]  It's the only way to stop it.
[00:30:59.605 --> 00:31:07.347]  The globalists are bombarding us with propaganda and with spiritual warfare and with poisons and chemicals added to the foods.
[00:31:07.347 --> 00:31:08.868]  It's all come out.
[00:31:08.868 --> 00:31:15.629]  And they're doing that not because we're weak, but because we're made in the image of God, the Creator, and we are powerful.
[00:31:15.629 --> 00:31:18.870]  And the social engineers fear that so much.
[00:31:18.870 --> 00:31:24.632]  So that's why I repeat that famous internet saying that nobody knows who first came up with, but boy, is it true.
[00:31:26.539 --> 00:31:32.343]  The propaganda would not be necessary if the situation was hopeless.
[00:31:32.343 --> 00:31:44.570]  They need all their propaganda and all their lies and all their evil and all their cultural death because they know we are strong and they know in the end they signed on the god of this world who is a loser.
[00:31:45.110 --> 00:31:49.052]  And that's why it's so important that everybody keep Infowars in the air now more than ever.
[00:31:49.052 --> 00:31:54.735]  Because even if you don't believe in God, what the globalists are manifesting and setting up is safe habit.
[00:31:54.735 --> 00:31:58.998]  And we are opposing the one world government and the Mark of the Beast they just announced.
[00:31:58.998 --> 00:32:03.420]  By now you've heard me talk about the BioPros and how they're creating amazing products.
[00:32:03.420 --> 00:32:10.684]  They've done it again and have just released an entire suite of bioremediation products, bringing industrial level technology
[00:32:10.984 --> 00:32:11.324]  We're good to go!
[00:32:38.502 --> 00:32:44.324]  It contains no chemicals, no GMOs, and is safe for black, gray holding tanks, sewer hoses, and plumbing.
[00:32:44.324 --> 00:32:48.425]  Say goodbye to holding tank problems, gas buildup, and odor.
[00:32:48.425 --> 00:32:49.966]  Guaranteed.
[00:32:49.966 --> 00:32:54.067]  Stick it to the stinky slinky with BioRV Pro.
[00:32:54.067 --> 00:33:01.769]  Visit thebiopros.com and see for yourself.
[00:33:01.769 --> 00:33:04.450]  You're listening to the Alex Jones Show.
[00:33:14.818 --> 00:33:21.241]  Welcome back.
[00:33:21.241 --> 00:33:28.363]  Live from the Infowars.com studios, you're listening to the Alex Jones Show.
[00:33:28.363 --> 00:33:36.807]  So, everybody kept believing Q that was using some front people at 4chan and 8chan, but that was not Q. Q was
[00:33:38.407 --> 00:33:45.390]  Globalist using Pentagon brainwashing, disinformation, technology on the public.
[00:33:45.390 --> 00:33:48.731]  And I told you, and I told you they were going to steal it from Trump.
[00:33:48.731 --> 00:33:52.972]  And I told you they were going to use the Red Mirage system before they even announced it.
[00:33:52.972 --> 00:34:00.335]  And I told you that I knew who first started Q, who meant well, but it got taken away from them very quickly.
[00:34:00.335 --> 00:34:02.996]  And people just wanted to say, oh, Alex is jealous of Q.
[00:34:06.124 --> 00:34:10.048]  No, I don't want to be a slave of the New World Order.
[00:34:10.048 --> 00:34:18.036]  And I can basically talk to anybody I want to in the quote power structure and I know what's going on in the world and I was proven right yet again.
[00:34:20.063 --> 00:34:28.409]  You see, the entire Pentagon operation that everybody thought was going on for America was going on against America.
[00:34:28.409 --> 00:34:40.419]  And then the former special ops commander that Trump appointed as the Secretary of Defense that everybody thought was, you know, there to oversee Trump's victory was, you notice, there to stab Trump in the back.
[00:34:41.633 --> 00:34:44.694]  This has all been a PSYOP against America.
[00:34:44.694 --> 00:34:49.456]  And we know Trump's for real, because this group went up against him and stole the election from him.
[00:34:49.456 --> 00:34:54.317]  Doesn't mean Trump's perfect, but he means well and is the real deal.
[00:34:54.317 --> 00:34:56.538]  And tried to turn this country around.
[00:34:56.538 --> 00:35:00.839]  And I hope we can get him back into office in three years.
[00:35:00.839 --> 00:35:06.161]  The globalists never intend to let us get to that point.
[00:35:06.161 --> 00:35:06.301]  So.
[00:35:07.847 --> 00:35:16.931]  If you just joined us, I'm going to finish up with this very powerful piece from OAN, and they should have this gentleman they had on for two hours.
[00:35:16.931 --> 00:35:20.713]  In fact, if he'll come on our show, we'd love to have him.
[00:35:20.713 --> 00:35:34.179]  I've studied how the globalists operate, and Michael Waller is one of the top people that actually overthrew governments around the world and ran insurgencies and counter-insurgencies.
[00:35:34.179 --> 00:35:37.140]  Okay, and he's explaining to you systems he developed
[00:35:38.171 --> 00:35:51.760]  That are weapons of how to lie and manipulate populations and how to take populations out of a fight and how that technology was used against the American people and is being used.
[00:35:51.760 --> 00:35:52.881]  And a lot of this is secret.
[00:35:52.881 --> 00:35:54.042]  That's why I had to be very careful.
[00:35:54.042 --> 00:35:55.803]  I only talk about stuff that's public.
[00:35:55.803 --> 00:35:58.605]  So, I mean, you need to go read his bio.
[00:35:58.605 --> 00:36:03.668]  Senior Analyst for Strategy for Center for Security Policy.
[00:36:03.668 --> 00:36:04.409]  That's the top group.
[00:36:05.404 --> 00:36:11.507]  His areas of concentration are propaganda, political warfare, psychological warfare, and subversion.
[00:36:11.507 --> 00:36:28.896]  He is the former Walter and Laurene Annenberg Professor, Annenberg Professorship's the top of the neural order, of International Communication at the Institute of World Politics, a graduate school in Washington, D.C., and former instructor with the Naval
[00:36:29.716 --> 00:36:36.523]  Post-graduate school, he is the instructor-lecturer at the John F. Kennedy Special Warfare Center and School at Fort Bragg.
[00:36:36.523 --> 00:36:38.725]  Dr. Waller holds the Ph.D.
[00:36:38.725 --> 00:36:43.790]  in International Security Affairs with the University Professors Program at Boston University.
[00:36:43.790 --> 00:36:46.993]  He received his military training as an insurgent.
[00:36:47.844 --> 00:36:49.504]  With the Nicaraguan Contras.
[00:36:49.504 --> 00:36:53.485]  He was the co-founder of Blue Team on China in the 1990s for 13 years.
[00:36:53.485 --> 00:37:00.947]  He was the Walter and Lerone Annenberg Professor of International Communications at the Institute of World Politics, Washington, D.C.
[00:37:00.947 --> 00:37:03.007]  I'm only a little bit through his bio.
[00:37:03.007 --> 00:37:04.807]  I'm going to stop right there.
[00:37:04.807 --> 00:37:05.588]  Okay?
[00:37:05.588 --> 00:37:07.148]  You get what I'm saying.
[00:37:07.148 --> 00:37:11.669]  And he's telling you that a multinational illegal group
[00:37:12.592 --> 00:37:17.676]  Is hijacked the country and is engaging in warfare operations against you and your family.
[00:37:17.676 --> 00:37:22.099]  But we don't need to listen to him to know this is true.
[00:37:22.099 --> 00:37:27.784]  You're experiencing it.
[00:37:27.784 --> 00:37:31.827]  And so here's the original launch of all this back in December five years ago.
[00:37:31.827 --> 00:37:36.390]  Obama to open ministry of truth.
[00:37:36.390 --> 00:37:38.332]  And the first thing they tell you is we're going to lie to you.
[00:37:40.154 --> 00:37:40.354]  U.S.
[00:37:40.354 --> 00:37:42.795]  establishes Ministry of Truth to combat, quote, fake news.
[00:37:42.795 --> 00:37:43.835]  That's what you're seeing here.
[00:37:43.835 --> 00:37:45.515]  And I was the first target, remember?
[00:37:45.515 --> 00:37:47.376]  And Julian Assange told you what was coming.
[00:37:47.376 --> 00:37:48.496]  It's for everybody.
[00:37:48.496 --> 00:37:50.777]  Let's talk about what it is.
[00:37:50.777 --> 00:37:53.857]  The OODA loop.
[00:37:53.857 --> 00:37:55.278]  The OODA loop.
[00:37:55.278 --> 00:37:56.358]  I suggest you go read it.
[00:37:56.358 --> 00:37:57.558]  This is not even classified.
[00:37:57.558 --> 00:38:08.701]  It's on Wikipedia, but it's how they take normal communication of citizens and target Christians, conservatives, nationalists, members of Congress, members of the House and Senate, governors, legislatures, everyone
[00:38:09.915 --> 00:38:16.243]  That's fighting for America and how you censor them, how you demonize them, how you attack them, and how you fund millions of...
[00:38:17.757 --> 00:38:24.420]  Influencers to make it look organic and to attack and swamp them and tattle on them and shut them down.
[00:38:24.420 --> 00:38:28.742]  This is the Pentagon and the military attacking America.
[00:38:28.742 --> 00:38:37.545]  And so people are like, here's military intelligence and here's, we got them all in prison and we're all going to win.
[00:38:37.545 --> 00:38:43.428]  Because if you'd have known how much trouble Trump was in and how much trouble we were all in, you'd have gotten the fight and marched and demonstrated.
[00:38:43.428 --> 00:38:45.649]  But you just sat back going, we're invincible.
[00:38:46.249 --> 00:38:47.990]  And I'm not putting down folks that bought into this.
[00:38:47.990 --> 00:38:48.771]  I understand.
