[00:00:01.508 --> 00:00:04.649]  Two, three, four...
[00:28:03.260 --> 00:28:09.385]  When she says it, she goes, reach down and help them.
[00:28:09.385 --> 00:28:17.391]  Because someone, you see, like when Vice and Salon are on articles, they talk about the bravery of the pedophiles and how they love children.
[00:28:17.391 --> 00:28:22.495]  They cut some ball-headed guy with a mullet drooling over a four-year-old dancing in
[00:28:24.062 --> 00:28:28.586]  A little scantily clad outfit and he's just drooling.
[00:28:28.586 --> 00:28:32.189]  There's no bottom to these people.
[00:28:32.189 --> 00:28:38.274]  And parents will probably go to the school and say, well, I guess it's okay.
[00:28:38.274 --> 00:28:48.143]  And the next it'll be, well, you're five-year-old, because that's what they have in school libraries now, is stories of five, six, seven, eight-year-olds when they got molested, how fun it is.
[00:28:48.143 --> 00:28:50.425]  And this isn't a joke, just like keeping the babies alive after they're born.
[00:28:51.288 --> 00:28:55.629]  And we're all just gonna bow down to it and worship it and turn our guns in.
[00:28:55.629 --> 00:28:58.030]  No, we're not.
[00:28:58.030 --> 00:29:00.011]  Heart disease is on the rise.
[00:29:00.011 --> 00:29:06.913]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:29:06.913 --> 00:29:15.256]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:29:15.256 --> 00:29:20.938]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:29:21.138 --> 00:29:22.939]  My blood pressure has normalized.
[00:29:22.939 --> 00:29:25.220]  My diabetes has totally improved.
[00:29:25.220 --> 00:29:29.622]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:29:29.622 --> 00:29:31.803]  I recommend Heart and Body Extract to everyone.
[00:29:31.803 --> 00:29:39.647]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:29:39.707 --> 00:29:42.050]  Order your two month supply today by calling 866-295-5305.
[00:29:42.050 --> 00:29:42.391]  That's 866-295-5305.
[00:29:42.391 --> 00:29:44.313]  Or order online at hbextract.com.
[00:29:44.313 --> 00:29:47.097]  Heart and Body Extract 866-295-5305 or hbextract.com.
[00:29:59.562 --> 00:30:05.066]  We are working with Silicon Valley to make you behave yourself.
[00:30:05.066 --> 00:30:14.192]  Once we have full control, we send you to re-education camp like we do our people when they talk back to the party.
[00:30:14.192 --> 00:30:19.295]  Whatever you do, do not visit Band.Video.
[00:30:19.295 --> 00:30:26.741]  Band.Video is evil Americans whom Silicon Valley is teaching to shut up like China do.
[00:30:30.066 --> 00:30:31.247]  Hey!
[00:30:31.247 --> 00:30:34.409]  I told you, don't go to Bandot Video!
[00:30:34.409 --> 00:30:36.110]  I'm watching you!
[00:30:36.110 --> 00:30:37.111]  Haha!
[00:30:37.111 --> 00:30:39.712]  Our system has been adopted worldwide!
[00:30:39.712 --> 00:30:42.795]  Soon, we will kill you if you don't do what we say!
[00:30:42.795 --> 00:30:45.957]  Haha!
[00:30:45.957 --> 00:30:49.199]  Oh, Mark Zuckerberg and others angry at you!
[00:30:49.199 --> 00:30:55.083]  Do what CNN says and do not visit Bandot Video or I have to hurt you!
[00:30:58.803 --> 00:30:59.003]  Yes.
[00:30:59.003 --> 00:30:59.363]  Oh, thanks.
[00:31:29.223 --> 00:31:31.385]  Well, sir, let me break this down for you.
[00:31:31.385 --> 00:31:32.866]  I want high quality stuff in there.
[00:31:32.866 --> 00:31:33.906]  I want a good price.
[00:31:33.906 --> 00:31:38.009]  But I've kind of habituated everybody to where everybody buys when it's 50% off.
[00:31:38.009 --> 00:31:40.270]  I'm making $2 on my toothpaste 50% off.
[00:31:40.270 --> 00:31:43.873]  And so it's the same thing like the fish oil or the turmeric or the bone broth.
[00:31:43.873 --> 00:31:44.833]  Thank you so much for the plug.
[00:31:44.833 --> 00:31:49.036]  But listen, when people get the Patriot points, a lot of times it makes things a loss later.
[00:31:49.036 --> 00:31:56.721]  Because if you're already getting 10% off because you're on auto ship, and then we're doing 50% off, and then you do something like that, where you have Patriot points, we lose money.
[00:31:56.721 --> 00:31:57.361]  But that's okay.
[00:31:57.361 --> 00:31:57.982]  Thanks for the support.
[00:31:58.562 --> 00:32:02.805]  We sold Secret 12 for four years and it was our number third bestseller.
[00:32:02.805 --> 00:32:07.568]  We had to discontinue it because when you upgrade a formula, you are supposed to rename it.
[00:32:07.568 --> 00:32:09.810]  That new formula is Ultra 12.
[00:32:09.810 --> 00:32:14.213]  It's twice as strong as Secret 12, the very best vitamin B12 out there.
[00:32:14.213 --> 00:32:19.296]  It's got the complex system that lets your body absorb it and it does amazing things.
[00:32:19.296 --> 00:32:26.021]  Supports healthy nerve and brain cells, helps make DNA, helps the body produce energy, helps produce healthy blood cells, essential for proper
[00:32:26.281 --> 00:32:28.044]  Nervous system function, it goes on and on.
[00:32:28.044 --> 00:32:36.335]  B12 deficiency is a serious problem that can cause anemia, fatigue, weakness, constipation, weight loss, depression, poor memory loss, asthma, vision problems, and low sperm count.
[00:32:36.335 --> 00:32:38.878]  Bottom line, folks, you need Ultra 12.
[00:32:38.878 --> 00:32:40.541]  It helps fund the inflow war, so it's a 360 win.
[00:32:41.542 --> 00:32:45.705]  And it's 50% off for a limited time at InfoWarsStore.com.
[00:32:45.705 --> 00:32:51.030]  Again, we can only run the special for the next two weeks or so while supplies last.
[00:32:51.030 --> 00:32:52.031]  Ultra 12.
[00:32:52.031 --> 00:32:53.131]  Twice as powerful.
[00:32:53.131 --> 00:32:54.633]  Half the price.
[00:32:54.633 --> 00:33:01.138]  50% off right now at InfoWarsLive.com.
[00:33:01.138 --> 00:33:03.800]  You're listening to the Alex Jones Show.
[00:33:25.366 --> 00:33:30.050]  Defending the Republic from enemies, foreign and domestic.
[00:33:30.050 --> 00:33:36.615]  It's Alex Jones.
[00:33:36.615 --> 00:33:45.923]  Polarizing this event, the murder of these kids, you're talking about gun control.
[00:33:45.923 --> 00:33:50.347]  I just had to listen to you and Governor Scott talk about gun control.
[00:33:50.347 --> 00:33:51.828]  Gun control is a big issue.
[00:33:52.694 --> 00:33:56.897]  No one in America is going to come together on gun control, Chris.
[00:33:56.897 --> 00:33:57.437]  We're here.
[00:33:57.437 --> 00:33:59.918]  You didn't say one thing about fixing it.
[00:33:59.918 --> 00:34:03.921]  The American people, we could get together on school safety.
[00:34:03.921 --> 00:34:09.564]  But when you polarize it, this event, and every other media, we don't care about gun control right now.
[00:34:09.564 --> 00:34:13.606]  That's a big issue in the country, and you're not going to get everyone together on it.
[00:34:15.208 --> 00:34:18.451]  We're going to get everyone together on fixing our schools.
[00:34:18.451 --> 00:34:19.572]  And I just listened to you.
[00:34:19.572 --> 00:34:20.913]  So I just listened to you.
[00:34:20.913 --> 00:34:21.474]  You didn't talk.
[00:34:21.474 --> 00:34:27.299]  You didn't mention one question to Governor Scott about what are we going to do about the security for our children?
[00:34:27.299 --> 00:34:28.700]  How are we going to do that?
[00:34:28.700 --> 00:34:34.225]  But you're just talking about gun control, which is going to just give you more ratings than every other media event.
[00:34:36.581 --> 00:34:40.883]  I want to know, our kids are going to school in Kentucky on Monday.
[00:34:40.883 --> 00:34:42.204]  How are those kids safe?
[00:34:42.204 --> 00:34:44.565]  How about bringing that up to the media?
[00:34:44.565 --> 00:34:46.786]  How about bringing that up to Governor Scott?
[00:34:46.786 --> 00:34:48.007]  Not about guns.
[00:34:48.007 --> 00:34:49.508]  It's not about guns now.
[00:34:49.508 --> 00:34:50.748]  Today, it's not about guns.
[00:34:50.748 --> 00:34:53.330]  It's about the safety in our schools.
[00:34:53.330 --> 00:34:57.572]  And that's what you asked Governor Scott about, and I got to listen to that at my house.
[00:34:58.925 --> 00:35:02.866]  My kid, my kid's not here because the schools weren't safe.
[00:35:02.866 --> 00:35:03.827]  That's the main thing.
[00:35:03.827 --> 00:35:06.568]  You go into a courthouse, the judge is safe.
[00:35:06.568 --> 00:35:12.630]  The stenographer's not worried someone's coming in with a gun because they can't get in with a gun.
[00:35:12.630 --> 00:35:15.371]  The American people, we just want our schools safe.
[00:35:15.371 --> 00:35:19.892]  We don't want to talk about guns right now.
[00:35:19.892 --> 00:35:23.013]  And we are back live, ladies and gentlemen.
[00:35:23.013 --> 00:35:26.554]  Parkland First Responder says he was given stand down order.
[00:35:26.554 --> 00:35:27.955]  I could have saved lives.
[00:35:27.955 --> 00:35:28.395]  Remember that?
[00:35:30.040 --> 00:35:30.921]  Sources.
[00:35:30.921 --> 00:35:36.607]  Coral Springs Police upset at some Bowerd deputies for not entering school.
[00:35:36.607 --> 00:35:41.052]  You know, we had three different students on in the two days after it.
[00:35:41.052 --> 00:35:42.554]  The media said they were fake.
[00:35:42.554 --> 00:35:43.375]  Of course, they weren't.
[00:35:43.375 --> 00:35:44.416]  They literally had to admit that.
[00:35:44.416 --> 00:35:46.518]  We had real students on saying the police stood down.
[00:35:47.139 --> 00:35:50.501]  The national media made it up and said that I said nobody died.
[00:35:50.501 --> 00:35:52.002]  We forced them to retract it.
[00:35:52.002 --> 00:35:54.864]  But that's how vicious this corporate media is.
[00:35:54.864 --> 00:36:01.369]  And the father who's had the courage to speak out against all this is joining us right now to go over it.
[00:36:02.350 --> 00:36:04.531]  And of course, Andrew Pollack joins us right now.
[00:36:04.531 --> 00:36:07.892]  He lost his 18-year-old daughter on that fateful day.
[00:36:07.892 --> 00:36:08.853]  I couldn't even imagine that.
[00:36:08.853 --> 00:36:12.634]  I have a 15-year-old daughter, an 11-year-old daughter, and a two-and-a-half-year-old daughter.
[00:36:12.634 --> 00:36:15.215]  And what he's saying is absolutely true.
[00:36:15.215 --> 00:36:16.336]  What about the safety?
[00:36:16.336 --> 00:36:18.197]  What about the stand-down?
[00:36:18.197 --> 00:36:26.220]  What about the maniacs like Cruz, who 40-plus times had the police called on him, saying, I'm going to kill people at the school?
[00:36:26.220 --> 00:36:28.561]  What about these antifa nuts, both in Texas and
[00:36:29.361 --> 00:36:33.962]  Of course, in Ohio, who said, we're in the occult, we want to kill people.
[00:36:33.962 --> 00:36:35.483]  I mean, how are they not getting arrested?
[00:36:35.483 --> 00:36:37.664]  I really appreciate Andrew Pollack coming on.
[00:36:37.664 --> 00:36:38.884]  I could ask a lot of questions.
[00:36:38.884 --> 00:36:42.005]  He's at Andrew Pollack, F-L on Twitter.
[00:36:42.005 --> 00:36:48.067]  If you'd like to reach out and talk to him, at Andrew Pollack, P-O-L-L-A-C-K, F-L.
[00:36:48.067 --> 00:36:56.770]  But I'd like to give him the floor in this segment and the next, so he can actually, as someone who really is a victim of this horror, talk about what he thinks really should be done.
[00:36:56.770 --> 00:36:57.570]  Thanks for coming on with us.
[00:36:58.689 --> 00:37:01.550]  Oh, thanks for having me on, Alex.
[00:37:01.550 --> 00:37:04.511]  I mean, it's unspeakable what you've gone through, what others have gone through.
[00:37:04.511 --> 00:37:10.073]  We see it being politicized, people like Beto O'Rourke claiming 100 million gun owners.
[00:37:10.073 --> 00:37:10.753]  You've got the floor.
[00:37:10.753 --> 00:37:13.414]  What would you like to say about this?
[00:37:13.414 --> 00:37:16.154]  Well, I'm doing this to honor my daughter, Alex.
[00:37:16.154 --> 00:37:20.316]  You know, people ask me all the time, how do you have the strength?
[00:37:20.316 --> 00:37:24.237]  I have the strength because my daughter's not here with me anymore.
[00:37:24.237 --> 00:37:27.878]  And she would want everybody in this country to know the truth.
[00:37:28.638 --> 00:37:31.480]  Of behind what happened and all the failures.
[00:37:31.480 --> 00:37:36.824]  So that's what gives me this energy to go on day in and day out.
