[00:00.000 --> 00:20.000]  Music
[34:18.320 --> 34:26.640]  where people celebrated it and said he deserved it. And then those that said it was wrong
[34:27.520 --> 34:35.680]  and said that liberalism is a disease of the mind, how dare you be glad he almost died,
[34:35.680 --> 34:48.160]  and Twitter suspends or blocks their accounts. That's the type of garbage
[34:50.080 --> 34:55.760]  that goes on in this country, but it gets worse. Tweets put out of the president
[34:57.360 --> 35:03.920]  with photos of NASCAR drivers are being blocked as inappropriate. Well, of course they are.
[35:03.920 --> 35:08.800]  Anything with Trump and Melania because she's popular is blocked. Facebook won't take ads with
[35:08.800 --> 35:13.440]  her. And then he's with a female driver. That's not allowed. Women don't like Trump.
[35:15.520 --> 35:19.920]  That's pure election meddling, but Trump does nothing.
[35:23.920 --> 35:28.080]  So let's go to that footage that they're celebrating so much right now. And we'll go to
[35:28.080 --> 35:36.080]  Caitlin Bennett and what just happened to her at Ohio University.
[35:58.080 --> 36:04.720]  Newman comes across the line fourth and comes to rest,
[36:04.720 --> 36:28.720]  scoring unofficial between Hamlin and Blaney as far as who crossed the finish line first.
[36:28.720 --> 36:34.880]  Newman got turned, went up in the air as he came down, was hit by another car and launched
[36:34.880 --> 36:41.040]  Skyward. Okay, I'm not going to read you all the leftist tweets as they celebrated. It said,
[36:41.040 --> 36:46.560]  apologize, the Flotson article at news wars dot com and info wars dot com. But the only way
[36:46.560 --> 36:52.960]  you see the leftist doing this is from info wars dot com. Because anybody else criticizes it gets
[36:52.960 --> 37:00.480]  blocked or banned on Twitter. They just let their mob of savage criminals gang up and bully people
[37:01.360 --> 37:07.440]  everywhere on Twitter on Facebook on YouTube. And Trump just sits there and takes it.
[37:08.720 --> 37:13.920]  That's why we're launching operation 2020 that will officially be launched with the website and
[37:13.920 --> 37:18.560]  a video and how to take action this afternoon. It's almost done.
[37:18.560 --> 37:25.840]  We're going to go to Trump rallies, and we're going to wear stickers over our mouths that just
[37:25.840 --> 37:31.600]  say stop the censorship. And the silence will be incredibly powerful. And people will say,
[37:31.600 --> 37:35.440]  why are you wearing that? And you'll explain because Trump has betrayed us on this front.
[37:36.000 --> 37:39.920]  You understand he's dealing with the chai comms and the globalist and the fake impeachment.
[37:39.920 --> 37:45.440]  I get it. But this is an American what's going on and it's racketeering and it's
[37:45.440 --> 37:53.760]  got to be dealt with. And speaking of that, yesterday, my phone starts blowing up during
[37:53.760 --> 37:58.000]  the war room saying, did you see just what happened to one of your great correspondents,
[37:58.000 --> 38:04.320]  Caitlin Bennett? And I said no. So I called her. She didn't answer. I went to her Twitter and saw
[38:04.320 --> 38:08.960]  one of the videos. And they got hours of this footage that's going up as we speak.
[38:08.960 --> 38:16.480]  And it was a mob of 400 people chasing her off the campus, screaming at her, spitting at
[38:16.480 --> 38:21.680]  them, grabbing at them, throwing bottles at their vehicles and the police doing nothing.
[38:21.680 --> 38:31.680]  But it's bigger than Caitlin Bennett. It's about the mob psychology and the rest of the story.
[38:32.320 --> 38:35.200]  She's putting a big report together with right now that she just went out to do
[38:35.200 --> 38:40.320]  president's day coverage. They know who she is. She's a woman. She's pro-Trump.
[38:41.200 --> 38:46.960]  She's pro-second amendment. And this is how they respond to her. We're going to go to her in a
[38:46.960 --> 38:51.120]  moment. But let's play this clip. This is what happens when a Trump supporter goes to a college
[38:51.120 --> 38:59.280]  campus, left us at Ohio University, started a riot when Joel Patrick 1776 and I showed up
[38:59.280 --> 39:07.120]  and the police let it happen. I think Donald Trump should start funding, should stop funding,
[39:07.120 --> 39:11.760]  strip funding from universities like this, that harbor terrorists. Yeah, Trump signed executive
[39:11.760 --> 39:15.360]  orders saying if you don't support free speech, you have your funding pulled. But this is what
[39:15.360 --> 39:31.280]  the left has created. This is what they've done. Here it is.
[39:31.280 --> 39:43.200]  Oh. They're still throwing stuff. You need to back up.
[39:43.200 --> 39:55.120]  Why is that cop just letting this off? He told me, Justin, he told me he could not help me.
[39:55.120 --> 40:01.520]  He has nowhere for me to go. I like that horn. These cops are watching this happen. There's
[40:01.520 --> 40:16.720]  another one. They're still throwing stuff. This is what taxpayer money and sending your
[40:16.720 --> 40:21.920]  children to school does. You send them there to become un-Americans. Now we're going to play one
[40:21.920 --> 40:26.160]  more clip and then go to Caitlin Bennett. And again, they've got hours of this footage. They're
[40:26.160 --> 40:30.960]  shell-shocked. They're trying to upload it. There's so much cussing that if you don't bleep
[40:30.960 --> 40:33.920]  it, YouTube will then penalize you. We've got a bunch of raw footage. We're going to play next
[40:33.920 --> 40:40.000]  segment, but with no audio because we're on AM and FM stations and also TV stations, hundreds of
[40:40.000 --> 40:44.800]  them. And of course, we respect that. It's just bleeping it out. It's just beep, beep, beep,
[40:44.800 --> 40:48.640]  because it's just every other word is a cuss word. If you're a radio listener, you've got to go
[40:48.640 --> 40:55.360]  to infowars.com and see the raw footage of this and a band on video. So as we go to break, here's
[40:55.360 --> 41:01.600]  a clip of the police lied and said that no violence happened and that there was just
[41:01.600 --> 41:07.200]  allegations that some unknown person splashed water and were throwing things at her all day
[41:07.200 --> 41:12.000]  and grabbing at her. They dumped hot coffee on her and vandalized the truck right in front of the
[41:12.000 --> 41:22.000]  police. Here's footage.
[41:42.000 --> 42:10.000]  You want no oppressions? If any, you're in the face. You don't understand the oppressions.
[42:10.000 --> 42:18.960]  There's a lot more of this. Let's stop right here. We're going to come back with Caitlin Bennett
[42:18.960 --> 42:21.840]  and then we'll go a little bit at the next hour, whether we're going to open the phones up about
[42:21.840 --> 42:28.320]  this whole issue. But we sponsor her. I want to thank listeners for supporting us because I've
[42:28.320 --> 42:33.520]  been able to double her funding, which wasn't much to get to security people. You see that huge guy
[42:33.520 --> 42:38.480]  that's with her. A lot of courage now in America to go to a university to do polite interviews.
[42:38.480 --> 42:43.680]  And the security people have courage, not just, you know, little Caitlin Bennett has got the
[42:43.680 --> 42:48.480]  heart of a lion here. This is what this country's turned into. This is what we've let it turn into
[42:48.480 --> 42:54.400]  with these out of control hyena like bullies everywhere who've totally abandoned every American
[42:54.400 --> 43:02.880]  value and incredibly dangerous across the western world from high school to college sports to even
[43:02.880 --> 43:10.720]  the Olympics. Men, biological men are winning almost all of the sporting events. This is men
[43:10.720 --> 43:16.880]  invading women's spaces and bullying them and taking their rights away, all in the name of
[43:16.880 --> 43:22.400]  the liberalism and openness. And then every day I have stacks of news articles just like today.
[43:22.400 --> 43:29.120]  UK team find under house arrest for asking trans police officers gender and it hurt their feelings.
[43:29.120 --> 43:36.560]  UK mother spared jail for misgenerating trans woman ordered to pay thousand pound fine because it
[43:36.560 --> 43:43.680]  could have caused anxiety in the new royalty. That's the thought police. If a leftist has
[43:43.680 --> 43:49.760]  their feelings hurt for any reason, you get fined and you go to jail. This is tyranny. These people
[43:49.760 --> 43:55.440]  are bullies and it's sick and it's evil and it's part of a scientific anti-human takeover.
[43:55.440 --> 44:01.920]  Resist it. Speak out against it. There can no longer be any doubt. This coronavirus
[44:01.920 --> 44:07.680]  is serious on multiple levels. It's very communicable. It spreads very, very fast.
[44:07.680 --> 44:12.800]  It is killing a lot of people and the Chinese communist government has covered up just how
[44:12.800 --> 44:18.240]  bad it is and the lighthouse is now openly challenging them show our Trump's top scientist
[44:18.240 --> 44:26.160]  and so is Senator Cotton. My friends now is the time to get prepared. 2020 is not a year to play
[44:26.160 --> 44:31.600]  games with the globalist are trying to create economic collapse race riots. We don't know
[44:31.600 --> 44:37.280]  how bad this virus is going to get here. That's why listeners to info wars need to be prepared
[44:37.280 --> 44:44.160]  and infowarstore.com has the products that make your life better and make you healthier. We have
[44:44.160 --> 44:49.040]  the last of the immune gargle selling out as we speak. We have high quality, storeable foods
[44:49.040 --> 44:56.320]  ready to ship and vitamin mineral fusion is back in stock along with ultra 12 at infowarstore.com.
[44:59.600 --> 45:03.120]  Real stuff, man. We're talking about the real deal here and I love Trump all day long but,
[45:03.120 --> 45:06.960]  man, I tell you, he sits there and lets these big tech people keep running rough shot over
[45:06.960 --> 45:12.400]  and everybody, I mean, I've got a problem and we'll just take the Trump rallies over. That said,
