[00:00:00.071 --> 00:00:00.318]  Okay.
[00:24:31.681 --> 00:24:40.249]  As the roller coaster that will be 2020 draws near, it stands to rival those rare turning points in American history.
[00:24:40.249 --> 00:24:48.077]  And they're pushing that impeachment witch hunt, and a lot of bad things are happening to them.
[00:24:48.077 --> 00:24:50.800]  Because you see what's happening in the polls?
[00:24:50.800 --> 00:24:54.143]  Everybody said, that's really bullshit.
[00:24:54.143 --> 00:24:56.025]  John Donnelly.
[00:24:59.033 --> 00:25:07.721]  On Friday, November 15th, protests broke out in Iran when the regime raised fuel prices by 50%.
[00:25:07.721 --> 00:25:12.966]  Immediately following, the government began shutting down the internet.
[00:25:12.966 --> 00:25:25.137]  Within 24 hours, practically the entire internet was shut down, including Iran's mobile networks, leaving the majority of the country disconnected and isolated from the world.
[00:25:26.377 --> 00:25:38.662]  During the internet blackout, the Iranian people were encouraged through state-controlled media to join in the protests, while also being warned that they will be arrested.
[00:25:38.662 --> 00:25:45.705]  Rouhani said that people have the right to protest, but they are not the same as people who rebel.
[00:25:45.705 --> 00:25:50.788]  Kayon News reported that ordinary people must separate themselves from the rebels.
[00:25:52.225 --> 00:26:02.733]  And BBC released video clearly showing the faces of several protesters, putting them at risk of arrest and torture.
[00:26:02.733 --> 00:26:07.237]  Reza Pahlavi encouraged people to protest in his name.
[00:26:07.237 --> 00:26:14.362]  He tweeted out, Pahlavi has always been with the people and hashtag people power.
[00:26:14.362 --> 00:26:19.847]  But when people began getting arrested and killed, Pahlavi's impotent tweets were useless.
[00:26:21.960 --> 00:26:28.883]  The MEK also encouraged people to protest without offering any actual support.
[00:26:28.883 --> 00:26:35.085]  There are now videos surfacing of schools being closed down and turned into detention centers.
[00:26:35.085 --> 00:26:39.167]  Videos show protesters being shot at and killed.
[00:26:39.167 --> 00:26:41.628]  Women being fired upon.
[00:26:41.628 --> 00:26:44.569]  Bodies being beaten and dragged away unconscious.
[00:26:50.410 --> 00:26:53.094]  Reports are now that over a hundred people have been killed.
[00:26:53.094 --> 00:26:54.316]  The U.S.
[00:26:54.316 --> 00:26:56.580]  State Department announced that the U.S.
[00:26:56.580 --> 00:27:03.490]  will hold Iranian officials accountable and impose even greater sanctions against the struggling regime.
[00:27:06.075 --> 00:27:08.816]  The Islamic Republic is getting weak.
[00:27:08.816 --> 00:27:19.141]  Starting in 2005, the IRGC began acquiring state assets through shell companies to avoid being shut off by strict sanctions.
[00:27:19.141 --> 00:27:23.463]  And today, they control about half of Iran's gross domestic product.
[00:27:25.302 --> 00:27:35.970]  This gives the IRGC independence from Rouhani, and their divide is growing stronger, which only fractures the regime even more.
[00:27:35.970 --> 00:27:50.161]  Through all of these recent protests, the Restart Movement remained silent, in part because the internet was shut down, and they are not given a voice on state-run media like the other opposition groups are.
[00:27:51.222 --> 00:28:00.488]  And also because they expressed concern for the safety of the people and questioned the authenticity of the protests.
[00:28:00.488 --> 00:28:10.475]  Iranians on social media suggested that the IRGC was trying to duplicate the Restart Movement's protests of the recent past and failing to do so.
[00:28:11.562 --> 00:28:25.335]  Iranian officials are now being accused of stealing dead bodies from morgues and injured patients from hospitals to hide the actual scale of violence being exercised by the Islamic Republic.
[00:28:25.335 --> 00:28:34.945]  While the people chanted, we don't want the Islamic Republic, others tore down a sign that said, down with America, as the crowd cheered.
[00:28:38.911 --> 00:28:41.364]  For InfoWars.com, this is Greg Reese.
[00:28:58.164 --> 00:29:00.124]  Heart disease is on the rise.
[00:29:00.124 --> 00:29:05.447]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:29:05.447 --> 00:29:07.028]  But the symptoms are there.
[00:29:07.028 --> 00:29:15.371]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:29:15.371 --> 00:29:21.074]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:29:21.454 --> 00:29:23.055]  My blood pressure has normalized.
[00:29:23.055 --> 00:29:25.237]  My diabetes has totally improved.
[00:29:25.237 --> 00:29:29.740]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:29:29.740 --> 00:29:31.921]  I recommend Heart and Body Extract to everyone.
[00:29:31.921 --> 00:29:39.767]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:29:39.827 --> 00:29:43.989]  Order your two month supply today by calling 8 6 6 2 9 5 5 3 0 5.
[00:29:43.989 --> 00:29:47.871]  That's 8 6 6 2 9 5 5 3 0 5.
[00:29:47.871 --> 00:29:56.756]  Or order online HB extract dot com heart and body extract 8 6 6 2 9 5 5 3 0 5 or HB extract dot com.
[00:29:58.809 --> 00:30:05.033]  Black Friday is here, and the sales are so numerous, there is no way to go over all of them.
[00:30:05.033 --> 00:30:11.478]  But let me just give you an example of some of the sales we have running right now.
[00:30:11.478 --> 00:30:15.220]  DNA Force plus our flagship product, 50% off
[00:30:16.681 --> 00:30:21.502]  Free shipping, triple Patriot points, that's 15% off on your next order.
[00:30:21.502 --> 00:30:26.184]  If you sign up for auto shipping, an additional 10% off on that order, making it a loss leader.
[00:30:26.184 --> 00:30:34.246]  But on top of it, I'm offering a free bottle of Brain Force Plus, our number one best-selling product, so that those of you that haven't tried it,
[00:30:35.106 --> 00:30:42.833]  Can see how it gives you clean, focused mental stamina, is the term that I use, with none of the hangovers.
[00:30:42.833 --> 00:30:46.396]  Again, that's just one of the sales going right now.
[00:30:46.396 --> 00:30:55.605]  50% off, free shipping, triple Patriot Points, free bottle of Brain Force Plus with DNA Force Plus at Infolwarestore.com.
[00:30:55.605 --> 00:30:57.447]  Please take action and fund this operation.
[00:30:58.903 --> 00:31:02.127]  Major report out of major university.
[00:31:02.127 --> 00:31:06.211]  Researchers working on food-based treatment to slow-aging science daily.
[00:31:06.211 --> 00:31:13.679]  Probiotics in the gut of a particular type cause your entire body to be healthier and make you live longer and make you not get intestinal cancer.
[00:31:13.679 --> 00:31:14.820]  We have the very best formula.
[00:31:15.000 --> 00:31:17.401]  Literally, with what they even mentioned in the studies.
[00:31:17.401 --> 00:31:29.265]  And it explains that the hormone called FGF21, pro-longevity, heals the entire body and actually reverses aging, but is only made in the lower intestine.
[00:31:29.265 --> 00:31:30.185]  Oh, and what does it say?
[00:31:30.185 --> 00:31:35.387]  It's fiber from a spectrum of certain types of berries that grows this.
[00:31:35.387 --> 00:31:36.547]  And yes, this is a plug.
[00:31:36.547 --> 00:31:37.327]  Gut fusion.
[00:31:37.327 --> 00:31:38.488]  And what do we have in this?
[00:31:39.228 --> 00:31:41.890]  I've made a lot of predictions that have come true.
[00:31:41.890 --> 00:31:44.691]  But I'm here to tell you, most of those really weren't.
[00:32:06.638 --> 00:32:09.662]  Predictions that came out of a crystal ball.
[00:32:09.662 --> 00:32:11.585]  I could see where the globalists were going.
[00:32:11.585 --> 00:32:16.191]  I could see what their in-game agenda was, what their goal was.
[00:32:16.191 --> 00:32:22.539]  And I knew that when they were setting us up to be deplatformed, that they were really setting the precedent to take everybody.
[00:32:23.280 --> 00:32:34.212]  Off air to to silence everyone to ban words and names and information on fake whistleblowers so that their false narratives couldn't be opposed.
[00:32:34.212 --> 00:32:38.777]  What the globalists really feared was independent media and platforms
[00:32:39.398 --> 00:32:40.159]  In the future.
[00:32:40.159 --> 00:32:45.603]  It was the model of Infowars as much as the information that had to be silenced.
[00:32:45.603 --> 00:32:51.687]  Because they need total information dominance for their outrageous lies and the evil they're pushing to succeed.
[00:32:51.687 --> 00:33:01.355]  That's why keeping Infowars on the air is now more imperative and more vital than ever.
[00:33:01.355 --> 00:33:04.017]  You're listening to the Alex Jones Show.
[00:33:26.229 --> 00:33:31.733]  If you are receiving this transmission, you are the resistance.
[00:33:31.733 --> 00:33:39.218]  Live from the InfoWars.com studios, it's Alex Jones.
[00:33:39.218 --> 00:33:44.462]  It is December 2nd, 2019 on this Monday edition.
[00:33:44.462 --> 00:33:48.385]  We're live at studio and I'll be hosting the fourth hour today as well.
[00:33:48.385 --> 00:33:53.308]  This really is 33 minutes into the show, the start of the broadcast.
[00:33:53.308 --> 00:33:53.529]  I was
[00:33:55.143 --> 00:34:07.485]  Here yesterday and ready to do the Sunday show and just didn't do it and I was ready here to do today's broadcast and I decided I wasn't going to do it.
[00:34:07.485 --> 00:34:13.206]  I was just going to leave and then I decided just to go ahead and come back and do it.
[00:34:13.206 --> 00:34:18.247]  That's not a reflection on the crew and it's not me being a prima donna.
[00:34:18.247 --> 00:34:22.388]  It's that I'm going to shake this broadcast up
[00:34:24.096 --> 00:34:31.306]  And I'm going to shake up what I'm doing against the globalists in a lot of different ways.
[00:34:31.306 --> 00:34:34.671]  And I'm not going to just wait on these ideas I've had for years.
[00:34:34.671 --> 00:34:36.614]  I'm going to implement them one way or another.
[00:34:37.782 --> 00:34:43.784]  And so, coming up in the next few days and weeks, I'm going to host whole shows as a globalist.
[00:34:43.784 --> 00:34:48.305]  Just attacking God, Christianity, the family, everything.
[00:34:48.305 --> 00:34:53.247]  I'm going to just... You think that demon, Sacha Baron Cohen, can get into characters?
[00:34:53.247 --> 00:34:57.488]  I'm going to really tell you what they think of you and go from their perspective.
[00:35:00.293 --> 00:35:03.336]  And I'm gonna do it without scripts, without anything.
[00:35:03.336 --> 00:35:05.037]  I know the enemy inside and out.
[00:35:05.037 --> 00:35:11.642]  I'm going to show you who they are.
[00:35:11.642 --> 00:35:15.525]  Because that will get people talking.
[00:35:15.525 --> 00:35:18.167]  And that will get people thinking.
[00:35:18.167 --> 00:35:21.970]  Because I refuse to be stagnant.
[00:35:21.970 --> 00:35:26.094]  Also, I've got a lot of other tricks up my sleeve.
[00:35:29.451 --> 00:35:32.373]  That I'm going to be implementing in the next few days and next few weeks.
[00:35:32.373 --> 00:35:48.586]  And I just want our hardcore audience to know that so that when you tune in and you hear these things, and you hear me saying these things, that you understand it's done to get people thinking and to get them out of their trance.
[00:35:48.586 --> 00:35:57.934]  Because I am not just going to come in here and chronicle the takedown of civilization and humanity without really throwing some curveballs at the establishment.
[00:35:59.915 --> 00:36:08.602]  Also, I'm going to be in this third dimension a lot more on the streets.
[00:36:08.602 --> 00:36:19.150]  And I'm going to be doing a lot of other PowerPoint type presentations in the next 336 days.
[00:36:19.150 --> 00:36:26.276]  Because believe me, that is a very important number for this election and what's unfolding and the attempts to impeach the president.
[00:36:27.554 --> 00:36:37.300]  And that ongoing fiasco.
[00:36:37.300 --> 00:36:53.709]  But there is no rhyme or reason to what the globalists are doing because their chaos, their destruction, their death, the collapse of all that is good, because that exists in the universe because there's free will.
[00:36:53.709 --> 00:36:55.670]  And so I'm really going to do my best
[00:36:58.561 --> 00:36:59.642]  To cover it all today.
[00:36:59.642 --> 00:37:24.482]  And again, one reason that I almost didn't do the show today was that there's a constant frustration with this broadcast in that just one of the stories in my stack we could spend four hours on and not properly hit every angle of it to have real understanding.
