[00:00:03.271 --> 00:00:05.958]  Waging war on corruption.
[00:24:33.782 --> 00:24:35.042]  They all lose money.
[00:24:35.042 --> 00:24:39.603]  Vice has lost five billion dollars for Disney.
[00:24:39.603 --> 00:24:47.005]  Five billion dollars shoveling videos of how the dictator of China is good and Trump is bad.
[00:24:47.005 --> 00:24:53.726]  Shoveling videos how I'm evil and Trump's evil and how Christians suck and how Jesus sucks.
[00:24:53.726 --> 00:24:54.786]  They're rejected.
[00:24:54.786 --> 00:24:56.747]  Billions into Vice.
[00:24:57.950 --> 00:25:00.854]  And they can't even stand up to InfoWars.
[00:25:00.854 --> 00:25:07.883]  They don't have the footprint or the result because people know lies when they see it.
[00:25:07.883 --> 00:25:12.048]  We don't have five billion dollars in the last five years we spent.
[00:25:14.682 --> 00:25:18.946]  Over $150 million the last five years to run this place.
[00:25:18.946 --> 00:25:26.112]  That's how much the bandwidth, and the insurance, and the crew, and the legal, and the systems, and the taxes, and the regulations in media.
[00:25:26.112 --> 00:25:29.935]  Little bitty radio stations cost millions to run a year.
[00:25:29.935 --> 00:25:32.497]  Newspapers in middle-sized towns cost millions.
[00:25:32.497 --> 00:25:35.240]  Newspapers in big towns cost $100 million to run.
[00:25:36.474 --> 00:25:41.179]  It costs $450 million a year to run BuzzFeed.
[00:25:41.179 --> 00:25:46.083]  And they've got to get over $100 million from Soros, and they still lose money.
[00:25:46.083 --> 00:25:47.885]  We don't get anything from Soros.
[00:25:47.885 --> 00:25:49.407]  We don't get anything from anybody but you.
[00:25:50.305 --> 00:25:59.787]  And we need $40 million a year to run this place and defeat the globalists and pay for the bandwidth and pay for the audio and pay for the crew and do it.
[00:25:59.787 --> 00:26:01.727]  Sounds like a lot in media, it's not.
[00:26:01.727 --> 00:26:04.688]  It's truly David versus Goliath.
[00:26:04.688 --> 00:26:08.169]  The New York Times cost $500 million a year to run.
[00:26:08.169 --> 00:26:09.289]  They're losing money.
[00:26:09.289 --> 00:26:14.190]  Owned by kingpins and drug dealers and a coalition of the Legion of Doom.
[00:26:14.190 --> 00:26:15.750]  We're funded by you.
[00:26:15.750 --> 00:26:18.471]  And so, for the hardcore audience that's tuned in on Memorial Day,
[00:26:19.605 --> 00:26:35.010]  You've seen the fruits, you've seen our steadfastness, you've seen our commitment to the Republic, our commitment to the free market, our commitment to religious freedom, our commitment to the West, and our commitment to not back down, and it's that spirit of not backing down the enemy hates.
[00:26:35.010 --> 00:26:38.371]  But I need viewers and listeners to understand something.
[00:26:38.371 --> 00:26:40.131]  This is the big fight.
[00:26:40.131 --> 00:26:46.233]  All the other battles leading up to this were important, but we're entering, in the next few years, the next four years,
[00:26:47.699 --> 00:27:01.084]  Climaxes, and battles, and grand finales, and wars, and firebombings, and mass shootings, and false flags, and all hell is about to break loose.
[00:27:01.084 --> 00:27:06.847]  Now, we are peaceful when it comes to offense, but we'll defend ourselves when it comes to defense.
[00:27:07.790 --> 00:27:21.395]  But I'm telling everybody, get ready, get geared up, and do whatever you can now to reach out to people, to warn people, and to spread the word about broadcasts that are telling the truth.
[00:27:21.395 --> 00:27:26.737]  And I encourage you to start your own newsletter, to start your own local newspaper.
[00:27:26.737 --> 00:27:30.859]  As the censorship intensifies, old-fashioned radios can be more important than ever.
[00:27:30.859 --> 00:27:36.301]  As the censorship intensifies, local little newspapers you hand out yourself will be more precious than ever.
[00:27:38.462 --> 00:27:52.437]  As we go into this fight, we are shaping the future of the world and our destinies and everything together.
[00:27:52.437 --> 00:27:57.103]  Please go to InfoWarsTore.com and get staples like coffee,
[00:27:58.260 --> 00:28:17.522]  And get staples like fish oil and staples like protein bars are the highest quality that you need for you and your family, that when you buy from us, you're funding individuals totally and completely, absolutely a trillion percent committed, committed.
[00:28:18.547 --> 00:28:38.587]  Committed to exposing these rats, and we're having huge victories, but the enemy's fighting for its life right now, and the enemy is pouring billions a month into their fake news, and into their life as garbage, and it's not working, so they're pumping even more in, and while they sue us, and harass us, and lie about us, and boycott us, and try to sabotage us, so we won't be on the field,
[00:28:39.227 --> 00:28:42.448]  When they roll out their final operations.
[00:28:42.448 --> 00:28:43.788]  Well, we're gonna be on the field.
[00:28:43.788 --> 00:28:44.909]  Thanks for your support.
[00:28:44.909 --> 00:28:53.411]  But everybody should go get the Memorial Day specials up to 60% off at infowarestore.com and fund not just the Second American Revolution, but 1776 worldwide!
[00:28:59.608 --> 00:29:01.590]  Heart disease is on the rise.
[00:29:01.590 --> 00:29:06.894]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:29:06.894 --> 00:29:08.496]  But the symptoms are there.
[00:29:08.496 --> 00:29:16.843]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:29:16.843 --> 00:29:22.528]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:29:22.688 --> 00:29:24.530]  My blood pressure has normalized.
[00:29:24.530 --> 00:29:26.793]  My diabetes has totally improved.
[00:29:26.793 --> 00:29:31.199]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:29:31.199 --> 00:29:33.381]  I recommend Heart and Body Extract to everyone.
[00:29:33.381 --> 00:29:41.271]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:29:41.271 --> 00:29:43.614]  Order your two-month supply today by calling 866-295-5305.
[00:29:43.614 --> 00:29:44.095]  That's 866-295-5305.
[00:29:44.095 --> 00:29:45.997]  Or order online at HBextract.com.
[00:29:45.997 --> 00:29:47.859]  Heart and Body Extract, 866-295-5305.
[00:29:47.859 --> 00:29:48.781]  Or HBextract.com.
[00:30:02.193 --> 00:30:04.034]  Mike in New Jersey, you're on the air.
[00:30:04.034 --> 00:30:04.934]  Thanks for calling, Mike.
[00:30:04.934 --> 00:30:06.295]  You are the man, Alex.
[00:30:06.295 --> 00:30:07.816]  I'm so glad to be talking to you.
[00:30:07.816 --> 00:30:08.616]  I'm so excited.
[00:30:08.616 --> 00:30:09.516]  I'm such a big fan.
[00:30:09.516 --> 00:30:11.997]  Ever since I've been listening, I've been buying your products.
[00:30:11.997 --> 00:30:14.498]  I gotta do a shout-out for the Bone Broth.
[00:30:14.498 --> 00:30:15.919]  The Bone Broth.
[00:30:15.919 --> 00:30:17.360]  The Bone Broth.
[00:30:17.360 --> 00:30:18.760]  The Bone Broth.
[00:30:18.760 --> 00:30:20.021]  The Bone Broth.
[00:30:20.021 --> 00:30:24.763]  Tastes like, tastes like, um, great milkshake, you know, if you just add it to milk.
[00:30:24.763 --> 00:30:26.063]  It tastes like Ovaltine.
[00:30:26.063 --> 00:30:27.364]  It tastes like Ovaltine.
[00:30:27.364 --> 00:30:28.745]  It tastes like Ovaltine.
[00:30:29.585 --> 00:30:30.225]  Good!
[00:30:30.225 --> 00:30:30.845]  Whoa!
[00:30:30.845 --> 00:30:32.546]  I feel great since I've been taking it.
[00:30:32.546 --> 00:30:36.746]  My daughter uses the Bubble Gum Fluoride Free Toothpaste.
[00:30:36.746 --> 00:30:40.547]  I've used the Supermail Vitality, a host of other products.
[00:30:40.547 --> 00:30:42.567]  So thank you so much for that as well.
[00:30:42.567 --> 00:30:45.128]  Brother, you're thanking me for buying the products and keeping us on air.
[00:30:45.128 --> 00:30:45.888]  I'm thanking you.
[00:30:45.888 --> 00:30:52.329]  But yes, this is the ultimate bone broth formula with the turmeric, the chaga mushroom, the true bone broth.
[00:30:52.329 --> 00:30:53.069]  It is next level.
[00:30:53.069 --> 00:30:53.729]  It really is good.
[00:30:53.729 --> 00:30:54.269]  So thank you.
[00:30:54.269 --> 00:30:56.210]  I feel great since I've been taking it.
[00:30:56.210 --> 00:30:56.570]  Thank you.
[00:31:00.106 --> 00:31:03.131]  Everybody knows that supplements are amazing.
[00:31:03.131 --> 00:31:05.714]  That what God gave us from Mother Nature is incredible.
[00:31:05.714 --> 00:31:08.498]  That's why supplements are the biggest growing industry in the world.
[00:31:08.498 --> 00:31:10.481]  And the globalists are so upset.
[00:31:10.481 --> 00:31:13.305]  The problem is people forget to take them.
[00:31:14.557 --> 00:31:19.619]  And that's why the whole industry has moved towards packets you take in the morning and you take at night.
[00:31:19.619 --> 00:31:20.579]  So we looked at that.
[00:31:20.579 --> 00:31:22.200]  We made the very best a.m.
[00:31:22.200 --> 00:31:22.640]  and p.m.
[00:31:22.640 --> 00:31:30.943]  packets out there with an incredible spectrum of 13 different capsules that you take in two servings a day that are game-changing a.m.
[00:31:30.943 --> 00:31:32.004]  and p.m.
[00:31:32.004 --> 00:31:34.625]  total health and performance 8-pack
[00:31:35.703 --> 00:31:38.664]  PowerStack at InfoWarsLife.com.
[00:31:38.664 --> 00:31:40.045]  Folks, check it out.
[00:31:40.045 --> 00:31:43.506]  It's 50% off for a limited time out of the gates.
[00:31:43.506 --> 00:31:47.108]  50% off on the 8-pack PowerStack.
[00:31:47.108 --> 00:31:52.750]  50% off on our newest product at InfoWarsLife.com, the 8-pack PowerStack.
[00:31:52.750 --> 00:31:53.771]  50% off.
[00:31:53.771 --> 00:31:58.993]  We looked at the best-selling products out there, and we made it even better, and we lowered the price.
[00:31:59.980 --> 00:32:01.901]  Patriots are on the go.
[00:32:01.901 --> 00:32:06.624]  Hard-working Americans need high-quality energy when they're on the run.
[00:32:06.624 --> 00:32:17.070]  And ladies and gentlemen, we have spent years working with top developers to come out with the highest quality protein bar in vanilla coconut and chocolate peanut butter at InfoWarsLive.com.
[00:32:17.070 --> 00:32:21.233]  This is a high-end bar sold for up to six, seven dollars at Whole Foods.
[00:32:21.233 --> 00:32:24.115]  Normally we sell it for three dollars a piece when you get it in the box.
[00:32:24.795 --> 00:32:28.518]  But with the discount we're running right now as an introductory offer, it's $2.40 a bar.
[00:32:28.518 --> 00:32:32.060]  No one can top that, and it funds Liberty and the fight against the Globalists.
[00:32:32.060 --> 00:32:35.322]  With 15 grams of protein and so much more, they're amazing.
[00:32:35.322 --> 00:32:44.949]  Secure your box of high-quality InfoWars Life protein bars today, and you will be impressed, and you will reorder them, and you will help fund the operation to break the Globalists back.
[00:32:44.949 --> 00:32:45.790]  It's up to you.
[00:32:45.790 --> 00:32:46.150]  It's easy.
[00:32:46.570 --> 00:32:48.132]  You're listening to the Alex Jones Show!
[00:33:23.097 --> 00:33:26.789]  Welcome to an InfoWars.com Frontline Report.
[00:33:26.789 --> 00:33:28.214]  It's Alex Jones.
[00:33:30.498 --> 00:33:36.481]  And Owen Schroyer riding shotgun live on this Memorial Day special victory edition.
[00:33:36.481 --> 00:33:40.823]  And joining us in the next 45 minutes or so, Paul Joseph Watson from London, England.
[00:33:40.823 --> 00:33:46.945]  He's been in Parliament covering UKIP, covering the Brexit movement, covering Nigel Farage.
[00:33:46.945 --> 00:33:49.987]  It's an incredible time, ladies and gentlemen.
[00:33:49.987 --> 00:33:55.409]  Le Pen beats Macron in France as nationalists gain an EU vote.
[00:33:56.940 --> 00:33:58.061]  European elections.
[00:33:58.061 --> 00:34:03.484]  Italy stunned as Salvini wins majority and says a new Europe is born.
[00:34:03.484 --> 00:34:11.088]  Again, these are parliamentary elections, so it takes two or three rounds, two or three elections to ever remove an establishment party.
[00:34:11.088 --> 00:34:14.430]  He just won in the second round.
[00:34:14.430 --> 00:34:19.993]  Merkel has lost six rounds and through fraud in over 20 parties in Germany, she stayed in
[00:34:21.127 --> 00:34:26.469]  By making deals with the other coalitions, but now her party's getting less than 10% of the vote.
