[00:00:17.682 --> 00:00:18.102]  We did it!
[00:22:18.152 --> 00:22:23.513]  What we need is an understanding of what true liberty is all about and why that's an individual matter.
[00:22:23.573 --> 00:22:25.434]  It's not collective.
[00:22:25.554 --> 00:22:30.195]  And quite frankly, I spend my time talking to young people because I think that's what we need.
[00:22:30.215 --> 00:22:42.297]  We need an educated new generation that will be more intense on relying on liberty rather than relying on the political process where they're trying to get one advantage over another.
[00:22:42.777 --> 00:22:45.919]  Well, my prediction is that not a whole lot is going to change.
[00:22:45.939 --> 00:22:49.342]  I think the momentum is so great, there's a lot of good intentions out there.
[00:22:49.902 --> 00:22:52.624]  But I think that the spending is going to continue.
[00:22:53.304 --> 00:22:55.286]  I think the printing of money is going to continue.
[00:22:55.306 --> 00:22:57.027]  The deficits are going to continue.
[00:22:57.087 --> 00:23:00.670]  I've become cynical over the many decades I've been involved.
[00:23:01.210 --> 00:23:05.273]  I mean, if you go back to the Ronald Reagan era, I was so excited about that.
[00:23:05.293 --> 00:23:06.874]  I was a supporter of his in 1976.
[00:23:08.935 --> 00:23:21.845]  And yet, when he was in, the debt went up, the spending went up, and you know, when the Congress finally was controlled by Republicans and the Senate and the Presidency, guess what?
[00:23:21.905 --> 00:23:23.747]  We spent more money than the Democrats!
[00:23:24.247 --> 00:23:42.319]  And as much as we look toward, and I certainly do look toward the positive side of the people waking up, there's a lot of people out there that want government, and I think the result of this election will be that probably 97% of the members of Congress are going to be re-elected.
[00:23:42.719 --> 00:23:45.700]  You know, it's going to be pretty much the status quo.
[00:23:46.280 --> 00:23:55.123]  And I think we have more work to do in the intellectual sphere, the understanding of economic policy, the understanding of the nature of money.
[00:23:55.143 --> 00:23:59.845]  And then that will eventually be reflected in our members of Congress.
[00:24:18.283 --> 00:24:18.863]  It's crazy.
[00:24:18.963 --> 00:24:30.050]  I got so excited when I saw who was calling me, that I was like trying to do the swipe to answer it, and it wouldn't work because I was so excited.
[00:24:30.891 --> 00:24:31.771]  Only if you were that excited.
[00:24:31.791 --> 00:24:37.554]  It's like in the horror movie, you're trying to get your key in the car to start it when the monster is coming after you, but you're so excited you drop the keys.
[00:24:37.574 --> 00:24:38.235]  Well, this is the opposite.
[00:24:38.255 --> 00:24:41.097]  So excited I couldn't even get the thing swiped properly.
[00:24:41.697 --> 00:24:44.519]  I tell you, the Twilight Zone nature of my life has certainly gone into
[00:24:45.856 --> 00:24:46.597]  Beyond bizarre.
[00:25:00.365 --> 00:25:01.846]  Infowars, I'm bragging about you.
[00:25:02.647 --> 00:25:10.412]  They did the numbers last night, and I've been saying 75 million tuned in in the last week just on Facebook and Twitter and our own internal videos and YouTube.
[00:25:10.812 --> 00:25:21.240]  I'm sorry, Zimmerman is doing the numbers right now to finish it up, but it was right around 90 million last night when I left at about 7 o'clock.
[00:25:21.260 --> 00:25:28.485]  90 million people in the last seven days just on videos.
[00:25:30.290 --> 00:25:41.432]  And I mean, one video with two million, one with five million, one with three million, and it's like pieces of the stream, because you can't just put like a seven-day stream out, so we chop it up every two hours, four hours, six hours, depending on when we're here.
[00:25:41.472 --> 00:25:42.652]  Overnight, it's like a six-hour chunk.
[00:25:42.672 --> 00:25:46.593]  A lot of nights, we were only gone two hours, so we cut them in pieces.
[00:25:46.613 --> 00:25:47.653]  People like shorter pieces.
[00:25:49.314 --> 00:25:54.355]  But this is big pieces, and it had 90 million views.
[00:25:54.395 --> 00:25:55.775]  That's bigger than Fox, folks.
[00:25:57.042 --> 00:25:59.924]  They're in their own world, and Trump knows they're in their own world.
[00:25:59.984 --> 00:26:03.767]  Fox is the biggest thing out there, and that's why he just dissed the entire media.
[00:26:04.067 --> 00:26:14.374]  The most positive thing I've seen, because we made the joke that once he gets into office, it's one thing if he has some establishment folks to guide him through the mines of Moria, to use the Lord of the Rings analogy.
[00:26:14.394 --> 00:26:16.095]  If you're not a J.R.R.
[00:26:16.135 --> 00:26:19.157]  Tolkien fan, you won't know what I'm talking about, but I think most people are from the movies.
[00:26:19.738 --> 00:26:24.401]  It's one thing if he has a guide that's kind of a bad guy to take him through the mines of Moria or under the mountain.
[00:26:26.962 --> 00:26:33.444]  But if you catch him kissing goblins, or if you catch him in bed with a goblin, that's a problem.
[00:26:33.684 --> 00:26:36.865]  If he says signs onto the TPP, that's in bed with a goblin.
[00:26:37.425 --> 00:26:43.487]  Trump charging into a goblin's nest, kissing goblins, goblin vomit, catch him in bed with a goblin.
[00:26:44.607 --> 00:26:51.269]  Now, because we're going to have a new scale here, I'm actually going to have it made digitally where it's on a scale of goblins.
[00:26:51.449 --> 00:26:52.890]  Is he charging into a goblin's nest?
[00:26:53.230 --> 00:26:54.050]  Hacking them to pieces?
[00:26:55.017 --> 00:26:56.998]  Or is it just going, you know, around the goblins?
[00:26:57.558 --> 00:27:00.419]  Is it kissing goblins, even though you still stab them, you give them a kiss?
[00:27:01.139 --> 00:27:02.860]  Or is it catching them in bed with a goblin?
[00:27:03.740 --> 00:27:11.502]  And then the final scale, is Trump going to have babies with a goblin and actually help the New World Order and turn against us like Darth Vader?
[00:27:11.522 --> 00:27:13.443]  Is he going to marry a goblin?
[00:27:14.929 --> 00:27:16.449]  She just learned about another level of the scale.
[00:27:16.510 --> 00:27:19.170]  Not just in bed with a goblin, marry a goblin.
[00:27:19.450 --> 00:27:20.811]  That'll be all over the news now.
[00:27:21.391 --> 00:27:26.533]  And then they think it's discrediting to attack us with that, and then all it does is make everybody love us that more.
[00:27:26.573 --> 00:27:36.336]  See, they in the WikiLeaks were saying, let's push Trump because he'll discredit the whole
[00:27:37.443 --> 00:27:38.103]  T.O.P.
[00:27:38.163 --> 00:27:40.164]  and then if he becomes the nominee, we'll be able to defeat him.
[00:27:40.184 --> 00:27:46.307]  Now, pretty soon they figured out, no, he's actually popular, he's gonna destroy us within a few months, so they changed all that, too late.
[00:27:46.607 --> 00:27:56.212]  He got the nomination, and then he defeated Hillary, who tried to steal the election in a landslide, and now, Wolf Blitzer is whining and bitching like someone robbed him.
[00:27:56.592 --> 00:28:02.515]  This is outrageous, this is incredible, you didn't have a press conference with us, this is unacceptable.
[00:28:03.616 --> 00:28:07.322]  And then he just flew off and didn't even tell us from DC to New York.
[00:28:07.523 --> 00:28:08.464]  I said this on air.
[00:28:09.753 --> 00:28:11.213]  I hope he moves out of the White House.
[00:28:11.913 --> 00:28:20.955]  It's too small, it's not safe, and moves into one of his big mansions and builds a big armored wall around it and puts in big, you know, facilities for the Secret Service and everybody else.
[00:28:21.735 --> 00:28:25.516]  He's got mansions next to office buildings and just has his own White House.
[00:28:25.536 --> 00:28:28.056]  Just break with everything, except the Republic.
[00:28:28.717 --> 00:28:30.397]  Move out of that captured nest.
[00:28:30.697 --> 00:28:35.138]  Move back in once we've recaptured Washington, but don't move into the middle of the enemy encampment.
[00:28:35.578 --> 00:28:36.338]  Move out of there.
[00:28:37.574 --> 00:28:41.897]  Just spiritually you need to, and all the surveillance, and all the spies, and all the crap.
[00:28:42.237 --> 00:28:43.678]  It's just absolutely horrible.
[00:28:44.918 --> 00:28:49.381]  Only go there maybe a few days a week, you know, have that be your other office, and just get away from these people.
[00:28:49.441 --> 00:28:51.062]  And I said don't do press conferences with them.
[00:28:51.282 --> 00:28:54.744]  Do your own big daily announcements, and then do like they do.
[00:28:55.665 --> 00:28:58.186]  Say, we're gonna just bring in the Patriot Media.
[00:28:58.606 --> 00:29:01.608]  Hmm, dun-dun-dun-dun, and here comes all the correspondents.
[00:29:01.868 --> 00:29:02.749]  Hundreds and hundreds of them.
[00:29:04.602 --> 00:29:07.564]  You know what, we're not as bad as they are, so you know what, no, let's just have it open to everybody.
[00:29:08.544 --> 00:29:11.426]  The point is, is that dissing these people is key.
[00:29:11.446 --> 00:29:15.508]  Now I get the fact that so the stock market wouldn't plunge and so there wouldn't be bigger riots.
[00:29:15.828 --> 00:29:24.133]  He played the part of the facilitator to go and meet with Obama and say you're a good person, you know, we owe you for what you've done.
[00:29:24.153 --> 00:29:24.874]  It was a total lie.
[00:29:25.594 --> 00:29:26.775]  But he was kissing a goblin.
[00:29:27.335 --> 00:29:29.216]  The goblin did not look pleased, I will tell you.
[00:29:30.557 --> 00:29:33.399]  Because he understood what Trump was doing was devastating him.
[00:29:34.279 --> 00:29:40.925]  And, of course, it was a lesser man next to a real man, a self-made man, Obama, a globalist operative, destroying this country and his own people.
[00:29:41.666 --> 00:29:43.167]  But it's a big day, ladies and gentlemen.
[00:29:43.247 --> 00:29:44.128]  It's a new day.
[00:29:44.568 --> 00:29:45.409]  It's a new life.
[00:29:46.049 --> 00:29:47.391]  Birds flying high.
[00:29:47.411 --> 00:29:48.892]  I tell you, I know how they feel.
[00:29:48.912 --> 00:29:51.154]  We ought to play that coming back.
[00:29:51.674 --> 00:29:52.155]  Whoo!
[00:29:52.535 --> 00:29:53.496]  Good stuff, baby!
[00:29:53.836 --> 00:29:54.677]  We're on the march.
[00:29:55.057 --> 00:29:56.679]  The empire's on the run.
[00:29:59.455 --> 00:30:02.443]  We're on the march, the empire's on the run.
[00:30:03.386 --> 00:30:06.073]  Alex Jones and the GCN Radio Network.
[00:30:10.359 --> 00:30:14.420]  The NFL is considering some serious changes as ratings continue to plummet.
[00:30:14.600 --> 00:30:21.142]  Some of the changes include reducing ads and ad time, reducing the time of game, to perhaps even changing the way it's officiated.
[00:30:21.302 --> 00:30:36.046]  These were among the things mentioned by NFL Commissioner Roger Goodell to increase ratings, but he failed to mention the protest of our country by some of its players, like Colin Papernack, Erika Reid, Kenny Shills, Jackie Tartt, Elizabeth Harreld, and Luz Irving.
[00:30:36.266 --> 00:30:40.827]  Who have been protesting the country during the National Anthem, which without a doubt is affecting ratings.
[00:30:41.207 --> 00:30:46.648]  Wait, the players in the league are protesting the people in the country who drive the high ratings, and the ratings are dropping?
[00:30:46.928 --> 00:30:47.368]  Shocking.
[00:30:47.608 --> 00:30:49.768]  But the PCNFL can't address this.
[00:30:50.108 --> 00:31:04.451]  Perhaps the silver lining in all of this is that people are less inclined to being obsessed with football all day long, and have been following the presidential election, as well as other local and national issues, that they see they can affect with vigilance and action, not just taking a knee.
[00:31:05.071 --> 00:31:07.543]  This is Owen Troyer from InfoWars.com
[00:31:09.964 --> 00:31:13.307]  If you look at Bill Clinton, far worse.
[00:31:13.527 --> 00:31:15.208]  Minor words and his was action.
[00:31:15.789 --> 00:31:17.330]  His was what he's done to women.
[00:31:17.370 --> 00:31:23.034]  There's never been anybody in the history of politics in this nation that's been so abusive to women.
[00:31:23.274 --> 00:31:25.576]  Bill Clinton was abusive to women.
[00:31:25.936 --> 00:31:30.860]  Hillary Clinton attacked those same women and attacked them viciously.
[00:31:30.940 --> 00:31:32.121]  Four of them here tonight.
[00:31:32.261 --> 00:31:37.545]  So much of what he's just said is not right, but he gets to run his campaign any way he chooses.
[00:31:48.393 --> 00:31:51.134]  There is an information warfare happening right now.
[00:31:51.994 --> 00:31:53.434]  It's a fight for our minds.
[00:31:54.115 --> 00:31:56.035]  And InfoWars.com is on the front lines.
[00:31:56.355 --> 00:32:00.576]  Download our free multimedia app at InfoWars.com forward slash app.
